"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
BADEN-WUERTTEMBERG INSGESAMT;;;6.867.358;4.271.965;2.035.500;43.195;350.045;142.930;165.383;1.270;61.763;275.316;333.577;1.367.622;1.526.997;2.991.723;679.239;750.555;188.166;6.745.164;6.756;54.049;141.576;254.150;618.447;937.518;152.746;222.842;7.022;2.019.518
BAYERN;RB OBERBAYERN;09161 INGOLSTADT,STADT;98.747;53.632;27.632;514;12.873;1.948;4.086;10;899;3.141;3.288;14.885;16.287;52.370;25.708;9.175;5.929;96.799;111;726;1.687;3.221;7.241;13.987;4.601;2.749;505;27.478
;;09162 MUENCHEN,STADT;761.349;421.599;221.273;3.441;89.941;33.434;24.939;156;6.894;23.043;28.208;109.613;128.823;420.690;179.615;93.940;27.532;744.803;650;4.475;11.402;20.939;54.594;127.039;37.826;34.349;700;219.799
;;09163 ROSENHEIM,STADT;36.020;21.217;12.193;205;1.662;587;736;7;276;1.195;1.659;6.914;8.210;16.346;3.533;4.298;830;35.430;45;311;869;1.414;3.650;5.795;951;1.358;39;12.123
;;09171 ALTOETTING;73.658;43.855;24.944;391;2.902;1.014;1.558;8;505;2.278;3.205;14.220;18.289;32.140;5.777;8.284;1.787;72.424;98;576;1.581;3.035;8.408;10.990;1.266;2.571;72;24.760
;;09172 BERCHTESGADENER LAND;67.056;40.711;21.911;281;2.803;789;1.339;11;594;2.024;2.590;11.511;15.963;31.485;6.218;8.293;1.610;65.777;113;598;1.381;2.353;6.982;10.257;1.462;2.379;87;21.771
;;09173 BAD TOELZ-WOLFRATSHAUSEN;82.446;47.710;29.009;423;3.635;1.212;1.652;17;701;2.517;3.555;14.062;20.107;37.762;7.546;9.851;2.048;80.752;155;845;2.000;3.272;9.550;12.822;1.669;3.122;152;28.796
;;09174 DACHAU;95.518;57.918;30.560;566;4.366;1.586;2.091;17;809;3.167;4.211;17.967;22.016;43.083;9.231;10.658;2.434;93.687;128;713;1.991;3.604;9.813;13.988;2.053;3.091;111;30.348
;;09175 EBERSBERG;87.636;51.750;28.489;441;4.587;1.836;2.356;13;670;2.727;3.513;14.920;20.363;40.957;8.437;10.597;2.688;85.838;105;599;1.680;3.209;9.047;13.559;1.818;3.233;107;28.306
;;09176 EICHSTAETT;87.081;50.896;30.837;559;2.973;1.029;1.807;9;769;3.729;3.908;17.151;21.660;35.915;5.678;9.163;2.050;85.182;113;951;2.315;4.099;10.624;12.461;1.170;2.726;83;30.646
;;09177 ERDING;91.783;52.609;32.275;449;4.382;1.404;2.055;13;693;2.807;3.956;17.009;22.639;40.895;7.810;10.051;2.305;90.304;91;730;2.011;3.947;11.039;14.193;1.683;3.036;79;32.090
;;09178 FREISING;111.921;63.188;40.280;718;5.084;1.698;2.635;16;998;3.803;5.121;21.325;26.545;49.020;9.811;11.984;3.098;109.910;154;974;2.659;5.299;13.060;17.722;2.110;3.917;166;40.034
;;09179 FUERSTENFELDBRUCK;125.494;78.796;37.318;742;5.866;2.068;2.750;22;1.180;4.351;5.694;23.933;29.081;55.763;11.024;14.433;3.176;123.178;179;985;2.591;4.479;12.045;16.635;2.298;4.076;152;37.066
;;09180 GARMISCH-PARTENKIRCHEN;53.367;32.243;17.620;287;2.185;725;1.019;13;512;1.833;2.550;9.351;13.054;23.827;4.699;6.034;1.245;52.372;132;655;1.358;1.779;5.776;7.699;1.054;1.821;85;17.484
;;09181 LANDSBERG AM LECH;84.951;48.229;29.859;583;3.469;1.150;2.795;16;779;2.952;3.867;15.506;19.873;36.795;8.373;9.141;3.226;82.998;141;802;1.949;3.456;9.189;13.893;3.137;3.111;161;29.591
;;09182 MIESBACH;67.816;39.169;23.115;250;3.649;1.266;1.621;12;627;2.060;2.597;10.095;15.522;33.275;7.361;8.750;1.927;66.103;96;594;1.320;2.227;7.355;11.247;1.757;2.722;95;22.934
;;09183 MUEHLDORF A.INN;77.350;45.068;27.047;381;3.212;989;1.632;10;566;2.663;3.647;15.694;19.152;32.529;6.198;7.891;1.908;76.159;98;716;1.888;3.602;9.032;11.462;1.341;2.464;92;26.890
;;09184 MUENCHEN;240.952;131.347;75.837;967;23.466;9.847;9.290;45;1.841;6.261;8.244;32.346;44.664;127.731;37.765;36.728;14.913;236.000;197;1.311;3.717;6.188;18.795;44.474;10.351;14.042;811;75.493
;;09185 NEUBURG-SCHROBENHAUSEN;67.210;39.225;23.913;420;2.479;768;1.164;9;585;2.804;3.520;14.257;16.527;26.904;4.706;6.437;1.421;66.018;75;673;1.825;3.471;8.043;9.633;1.038;1.943;54;23.774
;;09186 PFAFFENHOFEN A.D.ILM;86.392;48.487;32.033;677;3.184;1.043;1.999;12;728;3.288;4.405;16.759;20.817;36.538;6.526;9.338;2.327;84.862;106;853;2.258;4.320;10.533;13.707;1.450;3.111;81;31.858
;;09187 ROSENHEIM;176.546;104.029;59.963;919;7.369;2.504;4.243;23;1.545;6.128;7.766;32.563;42.421;77.505;15.319;20.128;5.093;173.021;270;1.755;4.174;7.291;19.314;26.481;3.652;6.235;255;59.540
;;09188 STARNBERG;89.584;52.978;28.031;412;5.218;2.102;2.933;12;1.018;3.065;3.685;13.309;19.370;42.948;9.578;11.689;3.345;86.740;114;785;1.732;2.655;8.620;13.774;2.114;3.776;131;27.811
;;09189 TRAUNSTEIN;120.900;71.464;41.460;588;4.594;1.652;2.778;16;1.055;4.081;5.268;22.450;29.896;52.421;9.953;13.592;3.227;118.398;227;1.176;2.863;4.990;13.777;17.933;2.369;4.089;155;41.121
;;09190 WEILHEIM-SCHONGAU;90.570;54.092;30.748;546;3.073;1.131;2.102;9;873;3.546;4.498;17.572;22.362;37.231;6.576;9.333;2.439;88.521;171;1.088;2.405;3.778;10.291;12.565;1.507;2.853;132;30.430
;RB ZUSAMMEN;;2.874.347;1.650.212;926.347;14.760;202.972;71.782;79.580;476;25.117;93.463;118.955;483.412;613.641;1.384.130;397.442;339.788;96.558;2.815.276;3.569;22.891;57.656;102.628;276.778;452.316;88.677;112.774;4.305;920.143
;RB NIEDERBAYERN;09261 LANDSHUT,STADT;38.582;22.609;12.993;209;1.991;695;773;7;271;1.179;1.621;7.463;8.936;17.539;3.913;4.341;885;37.894;55;256;722;1.587;4.231;6.023;765;1.330;30;12.904
;;09262 PASSAU,STADT;29.824;17.526;9.407;104;2.095;711;684;8;220;877;1.208;5.253;6.396;14.653;3.746;3.794;766;29.373;44;166;525;976;2.742;4.867;851;1.210;32;9.352
;;09263 STRAUBING,STADT;28.134;16.890;9.108;147;1.403;536;584;2;189;804;1.178;5.725;6.507;12.647;2.804;3.258;661;27.711;18;158;546;1.109;2.969;4.236;678;978;24;9.060
;;09271 DEGGENDORF;80.877;45.711;29.954;440;3.183;1.095;1.585;4;512;2.467;3.254;15.370;20.381;36.126;6.967;8.853;1.800;79.910;56;550;1.583;3.509;10.150;13.940;1.689;3.021;48;29.836
;;09272 FREYUNG-GRAFENAU;54.298;30.938;20.039;190;2.280;756;846;5;418;1.963;2.200;9.605;13.225;25.222;4.758;6.618;991;53.624;52;427;1.220;2.430;6.707;9.075;937;1.998;36;19.947
;;09273 KELHEIM;83.072;46.083;31.834;551;2.821;932;1.769;14;572;2.602;3.620;16.090;20.759;36.075;6.001;8.876;2.051;81.769;76;590;1.901;4.205;10.970;13.875;1.364;2.877;66;31.683
;;09274 LANDSHUT;112.861;61.267;43.663;658;4.602;1.659;2.627;44;852;3.880;5.431;22.402;27.590;47.899;9.482;11.572;3.082;111.136;136;1.039;2.806;5.736;14.672;18.871;2.292;4.143;138;43.398
;;09275 PASSAU;133.011;80.353;43.913;457;5.445;1.894;2.807;36;937;4.758;5.859;26.254;32.138;58.063;10.882;14.815;3.195;131.204;133;991;2.940;5.539;14.888;19.076;2.093;4.135;92;43.659
;;09276 REGEN;51.372;29.357;18.719;209;2.227;689;855;5;345;1.514;1.923;8.751;12.820;24.458;4.548;6.525;1.012;50.823;45;377;1.095;2.018;6.310;8.756;925;1.952;41;18.642
;;09277 ROTTAL-INN;85.742;49.119;31.463;424;3.103;994;1.613;20;683;3.336;4.265;18.316;20.579;35.235;6.754;8.643;1.928;84.342;90;846;2.235;4.354;10.111;13.522;1.937;2.971;85;31.243
;;09278 STRAUBING-BOGEN;71.196;40.779;26.314;395;2.306;693;1.395;7;531;2.158;3.176;14.162;18.465;29.970;4.808;7.367;1.608;70.070;56;514;1.577;3.402;9.368;11.209;1.020;2.289;57;26.183
;;09279 DINGOLFING-LANDAU;71.368;38.413;27.747;380;3.295;903;1.529;4;540;2.573;3.689;14.439;16.685;30.593;8.997;6.126;1.877;70.396;81;670;1.871;3.876;9.400;11.643;1.781;2.062;73;27.614
;RB ZUSAMMEN;;840.337;479.045;305.154;4.164;34.751;11.557;17.067;156;6.070;28.111;37.424;163.830;204.481;368.480;73.660;90.788;19.856;828.252;842;6.584;19.021;38.741;102.518;135.093;16.332;28.966;722;303.521
;RB OBERPFALZ;09361 AMBERG,STADT;25.238;15.801;7.394;101;1.355;486;582;5;153;725;967;4.791;5.929;11.674;2.706;2.915;660;24.899;15;154;416;794;2.477;3.489;494;825;19;7.364
;;09362 REGENSBURG,STADT;81.957;47.401;26.236;496;5.708;2.190;2.091;25;550;2.188;2.753;13.654;17.708;41.531;12.405;10.093;2.365;80.749;92;547;1.180;2.773;7.711;13.702;2.848;3.277;96;26.101
;;09363 WEIDEN I.D.OPF.,STADT;26.423;16.382;8.095;152;1.328;552;456;10;172;837;979;4.753;6.015;12.769;3.140;3.207;527;26.052;25;179;412;831;2.469;4.113;684;968;14;8.043
;;09371 AMBERG-SULZBACH;72.020;42.994;24.489;346;2.412;946;1.769;10;543;2.540;3.066;14.259;18.331;30.236;5.205;7.649;2.021;70.996;66;594;1.491;3.009;8.477;10.655;1.046;2.413;66;24.358
;;09372 CHAM;91.350;53.336;32.784;621;2.878;960;1.713;18;757;3.204;3.820;17.564;23.627;39.006;6.555;9.764;2.048;90.026;96;719;1.998;4.049;11.558;14.144;1.512;2.949;64;32.628
;;09373 NEUMARKT I.D.OPF.;91.940;53.214;32.753;452;3.514;1.334;2.000;7;635;2.654;3.537;16.606;22.868;41.917;7.479;10.862;2.392;90.609;87;582;1.788;3.582;10.807;15.673;1.868;3.731;103;32.622
;;09374 NEUSTADT A.D.WALDNAAB;66.264;39.495;22.936;364;2.286;874;1.172;11;473;2.123;2.540;11.978;16.730;30.193;5.557;7.593;1.408;65.445;57;532;1.299;2.666;7.833;10.356;1.063;2.326;69;22.812
;;09375 REGENSBURG;130.134;77.575;43.459;907;5.239;1.758;2.930;24;835;3.713;4.762;23.100;32.524;59.976;10.821;15.186;3.307;128.217;122;970;2.366;5.113;15.076;19.487;2.071;4.241;107;43.241
;;09376 SCHWANDORF;103.363;59.144;38.167;671;3.675;1.257;1.696;10;666;3.119;3.912;18.854;25.858;47.545;8.825;12.258;2.068;102.022;98;691;2.006;4.273;12.732;18.100;2.155;4.112;96;37.996
;;09377 TIRSCHENREUTH;49.392;30.429;16.269;208;1.750;703;727;9;341;1.586;1.650;8.548;12.279;23.548;4.354;6.136;871;48.823;37;313;809;1.648;5.386;7.971;898;1.812;27;16.191
;RB ZUSAMMEN;;738.081;435.771;252.582;4.318;30.145;11.060;15.136;129;5.125;22.689;27.986;134.107;181.869;338.395;67.047;85.663;17.667;727.838;695;5.281;13.765;28.738;84.526;117.690;14.639;26.654;661;251.356
;RB OBERFRANKEN;09461 BAMBERG,STADT;41.233;24.784;13.180;330;1.949;695;979;11;395;1.686;2.005;7.792;9.023;18.409;4.546;4.757;1.113;40.423;48;388;915;1.458;3.830;6.398;1.170;1.634;37;13.074
;;09462 BAYREUTH,STADT;41.831;25.463;12.269;200;2.530;1.057;1.362;7;313;1.259;1.485;7.079;8.888;20.784;6.130;5.284;1.483;41.291;40;242;632;1.234;3.324;6.697;1.546;1.698;36;12.205
;;09463 COBURG,STADT;25.167;15.710;7.352;151;1.361;504;586;7;215;835;1.006;4.347;5.359;12.260;3.150;3.366;679;24.701;24;160;399;741;1.995;3.980;828;1.112;15;7.314
;;09464 HOF,STADT;26.169;17.557;6.452;115;1.565;722;474;6;155;758;961;4.274;5.337;13.844;3.915;3.423;542;25.871;13;152;416;629;1.886;3.302;558;749;21;6.419
;;09471 BAMBERG;103.384;62.693;35.181;581;2.988;1.207;1.926;15;839;3.963;4.854;21.653;26.140;42.117;7.194;10.666;2.299;101.865;108;978;2.304;4.529;11.911;15.051;1.564;3.264;100;34.981
;;09472 BAYREUTH;72.388;44.761;23.599;372;2.370;836;1.274;12;556;2.451;2.785;13.422;18.236;32.525;5.563;8.195;1.551;71.526;58;536;1.403;2.746;8.050;10.606;1.096;2.357;69;23.468
;;09473 COBURG;59.883;39.263;16.886;414;2.167;868;1.145;8;447;2.162;2.399;11.563;14.252;26.768;5.121;7.023;1.336;58.927;43;430;1.049;1.930;5.533;7.769;972;1.708;39;16.793
