;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;;06434  HOCHTAUNUSKREIS                  ;12.665;12.318;136;211;1.660;162.920;52.179;81.469;27.687;1.585;11.963;28.232;1.475;46;30.866;53.084;688;62;9.168;3.039;4.607;100;517;101;268;533;3;3.462;438;1.903;201;664;13.356;188.941;798;13.051
;;06435  MAIN-KINZIG-KREIS                ;24.213;23.223;370;620;3.118;261.411;93.420;128.275;38.450;1.266;13.184;32.454;2.859;107;19.642;93.942;622;285;16.402;5.740;7.771;217;1.139;433;389;708;5;10.105;914;6.713;666;1.487;28.279;313.903;746;33.493
;;06436  MAIN-TAUNUS-KREIS                ;12.502;12.211;156;135;1.576;175.147;62.323;87.475;24.317;1.032;10.168;23.123;1.490;27;40.355;52.632;734;136;13.243;3.865;7.937;125;734;128;197;257;-;2.060;211;1.276;121;700;16.139;203.788;854;10.439
;;06437  ODENWALDKREIS                    ;6.298;6.016;58;224;855;62.857;22.836;30.353;9.324;344;3.109;9.477;976;37;3.465;22.541;650;174;3.725;1.250;1.903;44;267;77;59;124;1;4.380;81;2.948;233;493;8.772;77.927;806;11.533
;;06438  OFFENBACH                        ;18.527;18.064;284;179;2.428;217.586;76.629;106.301;33.529;1.127;12.498;25.773;1.952;46;25.466;77.460;612;261;12.804;4.813;6.029;188;714;308;416;333;3;2.258;515;1.218;153;805;16.128;252.241;709;17.169
;;06439  RHEINGAU-TAUNUS-KREIS            ;13.249;12.777;154;318;1.826;122.835;44.820;58.403;18.639;973;8.196;18.374;1.516;40;7.497;45.785;656;75;6.321;2.494;3.089;72;302;76;96;191;1;5.383;107;3.770;293;681;12.460;148.544;794;16.023
;;06440  WETTERAUKREIS                    ;18.095;17.405;225;465;2.478;193.975;67.312;96.534;28.966;1.163;10.162;25.271;2.190;58;14.470;70.025;629;218;11.771;4.205;5.692;138;710;184;269;570;3;9.099;514;5.705;582;1.043;22.131;234.201;760;27.313
;RB ZUSAMMEN;;201.536;195.420;2.704;3.412;26.780;2.367.015;827.900;1.163.398;358.842;16.875;130.169;313.128;23.572;1.000;356.216;787.231;589;3.064;149.680;53.984;73.808;1.870;8.509;2.736;3.465;5.275;33;57.068;6.469;35.281;3.249;14.037;223.849;2.792.400;695;228.052
;RB GIESSEN                       ;06531  GIESSEN                          ;13.844;13.314;152;378;1.963;156.152;54.772;77.927;22.451;1.002;7.541;18.222;2.041;60;13.542;56.739;577;229;10.329;3.511;5.062;127;548;173;266;636;6;6.390;753;3.974;378;954;17.902;187.898;694;21.935
;;06532  LAHN-DILL-KREIS                  ;15.872;15.297;170;405;1.969;164.711;58.801;81.658;23.515;737;8.174;23.700;2.065;70;12.525;57.885;650;190;9.749;3.144;4.931;105;647;256;234;429;3;7.318;577;4.343;560;905;18.162;198.745;785;26.399
;;06533  LIMBURG-WEILBURG                 ;11.452;10.958;134;360;1.574;112.984;40.114;56.164;16.006;700;6.285;15.078;1.335;58;8.703;39.243;657;194;7.777;2.588;3.897;100;506;118;190;378;-;5.139;442;3.510;371;687;13.797;138.233;804;17.715
;;06534  MARBURG-BIEDENKOPF               ;14.198;13.678;124;396;1.697;144.035;54.886;69.377;18.935;837;6.860;18.147;1.687;105;9.634;51.157;583;359;7.688;2.833;3.620;92;438;136;208;349;12;9.748;414;6.817;490;832;18.627;176.860;716;22.072
;;06535  VOGELSBERGKREIS                  ;8.054;7.497;83;474;975;72.608;26.013;36.360;9.915;320;2.943;10.030;949;14;4.045;24.705;687;107;4.450;1.542;2.136;55;307;90;124;196;-;9.752;217;7.438;693;674;14.983;95.645;905;16.256
;RB ZUSAMMEN;;63.420;60.744;663;2.013;8.178;650.490;234.586;321.486;90.822;3.596;31.803;85.177;8.077;307;48.449;229.729;620;1.079;39.993;13.618;19.646;479;2.446;773;1.022;1.988;21;38.347;2.403;26.082;2.492;4.052;83.471;797.381;760;104.377
;RB KASSEL                        ;06611  KASSEL,STADT                     ;6.265;6.056;86;123;846;91.217;34.147;43.373;13.030;667;4.424;10.294;1.463;47;12.713;29.988;451;92;6.856;2.339;2.911;91;360;226;223;703;3;1.074;358;561;87;565;8.587;106.069;525;9.115
;;06631  FULDA                            ;17.095;16.256;163;676;2.077;143.848;49.542;73.046;20.452;808;6.612;19.015;1.932;79;11.257;46.333;645;279;9.829;2.979;4.952;136;629;189;256;687;1;12.970;648;8.859;858;890;23.968;184.911;829;26.655
;;06632  HERSFELD-ROTENBURG               ;8.973;8.462;58;453;1.011;79.593;26.918;40.986;11.354;335;3.364;10.097;920;34;4.798;25.778;659;48;5.284;1.668;2.282;55;259;85;115;820;-;7.695;573;4.991;487;686;13.713;102.279;847;16.306
;;06633  KASSEL, LAND                     ;15.744;15.052;185;507;2.174;151.541;58.865;70.604;21.066;1.006;8.150;17.725;2.875;19;8.456;53.434;640;143;8.648;3.013;3.999;120;500;247;189;578;2;8.114;1.052;5.059;446;778;17.683;184.968;781;27.773
;;06634  SCHWALM-EDER-KREIS               ;13.994;13.231;141;622;1.797;119.843;43.968;58.905;16.252;718;5.665;14.908;1.913;52;5.811;41.325;667;213;6.339;2.292;2.837;76;387;152;229;363;3;10.658;879;7.028;711;827;18.037;151.874;845;26.487
;;06635  WALDECK-FRANKENBERG              ;11.685;11.116;81;488;1.534;105.512;38.305;52.614;13.966;627;4.242;14.446;1.294;61;7.205;35.757;675;199;6.517;2.187;3.306;96;291;132;142;361;2;10.904;409;7.738;500;698;18.318;135.515;866;22.074
;;06636  WERRA-MEISSNER-KREIS             ;7.287;6.713;67;507;863;63.148;23.012;31.506;8.353;277;2.751;7.895;1.027;30;3.403;22.106;628;104;3.635;1.332;1.702;52;228;52;87;176;6;6.034;245;4.438;451;455;10.228;80.663;802;13.082
;RB ZUSAMMEN;;81.043;76.886;781;3.376;10.302;754.702;274.757;371.034;104.473;4.438;35.208;94.380;11.424;322;53.643;254.721;619;1.078;47.108;15.810;21.989;626;2.654;1.083;1.241;3.688;17;57.449;4.164;38.674;3.540;4.899;110.534;946.279;776;141.492
HESSEN INSGESAMT;;;345.999;333.050;4.148;8.801;45.260;3.772.207;1.337.243;1.855.918;554.137;24.909;197.180;492.685;43.073;1.629;458.308;1.271.681;600;5.221;236.781;83.412;115.443;2.975;13.609;4.592;5.728;10.951;71;152.864;13.036;100.037;9.281;22.988;417.854;4.536.060;721;473.921
MECKLENBURG-VORPOMMERN;;13003  ROSTOCK, STADT                   ;5.117;4.993;45;79;631;86.269;34.057;42.312;9.591;309;1.688;7.736;1.117;45;8.470;29.453;412;99;6.082;2.912;2.557;93;177;100;119;121;3;1.099;726;308;91;558;7.838;99.224;474;19.818
;;13004  SCHWERIN, STADT                  ;2.239;2.190;17;32;252;44.767;17.616;22.062;4.935;154;804;4.065;570;41;6.021;15.243;468;55;3.464;1.495;1.630;47;78;58;58;98;-;279;82;158;54;913;4.711;51.717;541;5.708
;;13071  MECKLENBURGISCHE SEENPLA.        ;13.412;12.904;88;420;1.590;145.959;54.627;73.894;17.130;308;2.256;16.308;1.640;98;9.686;54.032;566;305;16.299;7.309;7.152;264;434;280;277;581;2;7.313;1.285;5.546;873;1.550;25.467;184.838;716;41.863
;;13072  ROSTOCK                          ;11.128;10.771;83;274;1.294;127.594;45.814;64.562;16.796;422;2.767;15.088;1.616;77;9.844;47.548;591;198;14.722;6.472;6.550;188;485;223;358;443;3;6.349;1.168;4.729;677;1.445;22.714;161.436;748;34.635
;;13073  VORPOMMERN-RUEGEN                ;10.234;9.849;90;295;1.194;124.801;48.770;60.429;15.221;381;2.665;14.885;1.669;81;10.007;46.534;555;245;13.126;6.283;5.524;250;319;216;198;333;3;4.662;590;3.740;558;1.186;19.219;154.254;686;33.206
;;13074  NORDWESTMECKLENBURG              ;8.609;8.360;38;211;1.092;91.362;35.324;44.622;11.125;291;1.991;9.773;1.294;46;5.634;34.956;581;210;9.330;4.543;3.939;126;279;108;120;213;2;4.309;479;3.437;428;848;14.697;114.668;729;22.939
;;13075  VORPOMMERN-GREIFSWALD            ;11.756;11.377;74;305;1.330;126.539;47.904;62.505;15.527;603;2.000;14.540;1.268;94;7.981;47.496;537;235;12.344;5.920;5.178;244;344;171;144;341;2;5.220;456;4.320;530;1.146;18.945;157.240;667;34.354
;;13076  LUDWIGSLUST-PARCHIM              ;12.033;11.564;55;414;1.488;129.311;46.876;65.899;16.255;281;2.455;13.873;1.687;79;7.385;48.797;611;254;13.818;5.913;6.120;236;384;272;319;572;2;8.404;995;6.592;674;1.311;23.787;165.131;780;43.154
MECKLENBURG-VORPOMMERN INSGESAMT;;;74.528;72.008;490;2.030;8.871;876.602;330.988;436.285;106.580;2.749;16.626;96.268;10.861;561;65.028;324.059;545;1.601;89.185;40.847;38.650;1.448;2.500;1.428;1.593;2.702;17;37.635;5.781;28.830;3.885;8.957;137.378;1.088.508;677;235.677
NIEDERSACHSEN;RB BRAUNSCHWEIG                  ;03101  BRAUNSCHWEIG,STADT               ;10.813;10.611;101;101;1.392;142.933;53.959;70.340;15.895;2.739;6.102;14.943;1.762;78;32.048;42.871;573;206;8.023;3.237;3.643;199;416;120;144;263;1;1.382;575;600;98;679;10.290;164.036;658;13.251
;;03102  SALZGITTER,STADT                 ;4.391;4.249;55;87;476;56.426;21.727;27.430;7.070;199;2.466;5.216;599;33;3.500;18.837;541;113;2.840;1.155;1.237;31;151;39;77;143;7;960;297;521;84;296;4.209;65.026;624;7.823
;;03103  WOLFSBURG,STADT                  ;5.929;5.730;97;102;621;138.120;42.391;77.727;8.499;9.503;3.944;17.197;1.219;58;81.731;19.670;1.111;142;3.416;1.577;1.538;82;108;38;33;40;-;997;79;712;116;405;4.960;149.009;1.198;6.888
;;03151  GIFHORN                          ;12.555;12.106;145;304;1.601;109.243;42.689;52.731;13.168;655;4.979;11.932;2.041;42;5.138;37.566;619;152;6.021;2.576;2.778;75;275;79;85;153;-;6.640;317;4.767;389;762;13.575;135.373;767;25.616
;;03153  GOSLAR                           ;8.055;7.861;55;139;1.106;80.792;32.105;38.584;9.790;313;3.558;9.682;1.139;48;5.778;28.896;593;87;4.751;1.673;2.339;60;266;59;92;262;-;2.784;634;1.648;229;584;8.206;97.053;712;13.846
;;03154  HELMSTEDT                        ;6.123;5.955;58;110;797;56.367;23.077;26.757;6.165;368;2.464;5.678;870;33;3.051;19.673;617;114;2.791;1.136;1.306;49;112;63;49;74;2;2.435;231;1.765;237;406;5.746;68.236;747;10.722
;;03155  NORTHEIM                         ;9.484;9.112;57;315;1.295;88.331;33.817;43.158;10.938;418;3.672;9.996;1.195;47;6.286;31.004;668;92;5.256;1.973;2.636;63;237;58;115;174;-;6.348;353;4.586;440;732;12.428;110.243;833;16.927
;;03157  PEINE                            ;8.772;8.521;110;141;1.193;85.701;33.600;40.621;11.023;457;4.014;8.164;1.169;33;4.189;31.455;636;139;4.291;1.627;1.980;71;231;64;107;211;-;3.167;360;2.175;169;502;8.099;102.572;761;16.392
;;03158  WOLFENBUETTEL                    ;8.191;7.987;65;139;1.065;75.648;31.091;35.024;9.057;476;3.808;7.236;1.216;18;3.854;28.062;632;80;3.668;1.568;1.620;62;154;37;52;171;4;2.522;154;1.816;190;428;6.698;90.537;757;12.940
;;03159  G÷TTINGEN                 ;17.401;16.776;133;492;2.411;185.198;69.986;89.564;24.654;994;8.121;20.979;2.844;129;13.990;66.212;568;264;11.486;4.437;4.873;171;586;235;431;751;2;9.692;1.508;6.214;795;1.345;22.787;225.386;691;33.856
;RB ZUSAMMEN;;91.714;88.908;876;1.930;11.957;1.018.759;384.442;501.936;116.259;16.122;43.128;111.023;14.054;519;159.565;324.246;639;1.389;52.543;20.959;23.950;863;2.536;792;1.185;2.242;16;36.927;4.508;24.804;2.747;6.139;96.998;1.207.471;757;158.261
;RB HANNOVER                      ;03241  HANNOVER                         ;51.375;50.173;500;702;6.627;592.055;217.686;284.424;86.228;3.717;28.975;64.276;8.276;371;66.870;202.890;512;804;39.606;15.684;18.297;482;1.866;991;840;1.439;7;12.623;2.482;7.850;722;4.420;57.453;700.883;606;85.204
;;03251  DIEPHOLZ                         ;13.442;12.999;83;360;1.805;142.595;51.011;68.453;22.423;708;6.293;15.613;2.200;57;10.390;50.675;657;214;10.508;3.733;4.891;116;531;176;338;714;9;12.017;1.977;8.028;449;1.148;23.887;179.924;829;37.014
;;03252  HAMELN-PYRMONT                   ;8.794;8.512;72;210;1.158;93.108;34.838;44.805;12.948;517;4.602;9.945;1.299;58;4.868;34.282;627;124;5.133;2.133;2.283;69;302;92;79;173;2;3.635;209;2.521;197;576;9.468;111.370;750;17.331
;;03254  HILDESHEIM                       ;15.133;14.729;144;260;2.026;162.541;65.932;75.871;19.913;825;7.206;16.059;2.095;21;9.711;59.921;589;264;8.958;3.504;4.314;99;427;168;180;264;2;5.686;513;3.917;294;1.024;15.932;193.606;702;25.083
;;03255  HOLZMINDEN                       ;4.345;4.158;38;149;584;45.388;17.158;21.930;6.130;170;2.022;5.363;686;23;2.584;15.692;644;58;2.549;874;1.270;30;115;32;67;160;1;2.842;233;1.835;165;400;5.849;55.582;789;10.093
;;03256  NIENBURG (WESER)                  ;7.723;7.400;72;251;1.069;78.373;27.004;38.975;11.913;481;2.822;8.599;1.207;46;5.671;27.934;646;245;5.872;2.127;2.835;125;313;97;116;256;3;7.926;956;5.507;224;807;14.850;100.946;832;23.686
;;03257  SCHAUMBURG                       ;9.522;9.268;79;175;1.364;102.672;39.294;48.460;14.306;612;5.061;10.265;1.478;45;5.431;38.070;651;141;5.447;1.941;2.639;59;362;76;102;266;2;4.099;467;2.681;177;677;10.364;122.558;777;21.264
;RB ZUSAMMEN;;110.334;107.239;988;2.107;14.633;1.216.732;452.923;582.918;173.861;7.030;56.981;130.120;17.241;621;105.525;429.464;566;1.850;78.073;29.996;36.529;980;3.916;1.632;1.722;3.272;26;48.828;6.837;32.339;2.228;9.052;137.803;1.464.869;682;219.675
;RB LUENEBURG                     ;03351  CELLE                            ;11.089;10.685;86;318;1.567;110.988;40.067;54.339;16.103;479;4.577;12.161;1.904;58;7.127;40.790;620;152;7.663;2.815;3.808;150;371;114;162;240;3;5.107;377;3.925;422;948;13.870;135.947;759;26.683
;;03352  CUXHAVEN                         ;12.571;12.061;83;427;1.670;127.165;47.803;61.077;17.849;436;5.090;13.008;2.351;55;5.726;46.120;642;127;8.370;3.614;3.748;191;326;73;139;276;3;10.246;439;8.430;420;1.024;19.767;159.503;805;32.489
;;03353  HARBURG                          ;16.661;16.170;135;356;2.348;168.871;60.204;79.423;28.027;1.217;9.767;21.077;3.984;39;13.257;63.351;664;81;10.921;4.204;5.230;173;517;188;217;376;16;7.813;1.058;5.402;397;1.040;19.855;205.387;807;36.517
;;03354  LUECHOW-DANNENBERG               ;3.547;3.361;34;152;490;31.309;10.959;15.662;4.550;138;1.107;3.633;760;15;1.629;12.075;647;119;2.416;1.152;1.046;31;83;9;24;69;2;4.131;174;3.136;182;333;6.999;41.855;865;11.305
;;03355  LUENEBURG                        ;9.860;9.586;79;195;1.468;105.725;40.039;49.955;15.004;727;4.918;11.005;2.414;38;9.771;39.708;574;222;6.851;2.729;3.296;106;246;82;89;302;1;4.407;517;3.255;272;910;12.390;127.975;695;22.078
;;03356  OSTERHOLZ                        ;6.821;6.607;65;149;959;73.658;28.041;34.180;10.971;466;3.483;7.288;1.408;20;3.094;27.713;647;131;4.239;1.644;2.055;87;209;71;76;97;-;4.029;144;3.369;172;503;8.902;89.381;785;15.961
;;03357  ROTENBURG (WUEMME)                ;10.883;10.456;75;352;1.619;114.076;37.563;59.775;16.189;549;4.107;12.344;1.985;59;13.541;37.958;697;133;10.192;3.458;4.844;67;344;234;398;840;7;11.664;1.394;8.684;427;1.143;23.132;148.091;904;34.586
;;03358  HEIDEKREIS                       ;9.071;8.725;72;274;1.215;89.327;30.532;44.378;14.033;384;3.293;10.012;1.621;51;4.889;32.076;635;155;6.719;2.529;3.339;103;262;65;123;296;2;6.565;445;4.892;415;823;14.262;112.660;801;23.178
;;03359  STADE                            ;11.135;10.760;71;304;1.413;126.978;46.415;61.167;18.699;697;5.702;13.940;2.685;39;8.544;44.324;621;300;8.465;3.116;4.231;100;387;143;180;307;1;9.904;948;7.660;290;892;19.561;157.674;771;30.126
;;03360  UELZEN                           ;5.884;5.678;32;174;851;57.421;22.987;26.800;7.373;261;2.242;6.143;973;29;3.013;21.072;622;50;3.820;1.611;1.857;44;128;33;44;103;-;4.203;264;3.378;222;549;8.622;71.927;779;15.724
;;03361  VERDEN                           ;7.781;7.511;73;197;1.012;87.441;32.204;42.240;12.562;435;4.117;9.658;1.426;34;6.595;32.067;638;72;5.846;2.308;2.734;94;249;68;119;272;2;5.127;648;3.553;203;582;11.627;106.849;779;20.818
;RB ZUSAMMEN;;105.303;101.600;805;2.898;14.612;1.092.959;396.814;528.996;161.360;5.789;48.403;120.269;21.511;437;77.186;397.254;637;1.542;75.502;29.180;36.188;1.146;3.122;1.080;1.571;3.178;37;73.196;6.408;55.684;3.422;8.747;158.987;1.357.249;791;269.465
;RB WESER-EMS                     ;03401  DELMENHORST,STADT                ;3.060;2.983;27;50;423;42.676;16.766;19.666;6.069;175;1.663;3.519;531;14;3.412;14.973;550;59;2.280;941;1.074;31;105;43;19;66;1;598;268;269;47;159;3.096;48.832;630;5.828
;;03402  EMDEN,STADT                      ;2.198;2.131;20;47;295;25.154;10.832;11.239;2.952;131;864;1.901;533;19;2.085;8.324;504;52;1.505;708;598;21;85;19;35;39;-;488;153;293;48;121;2.166;29.518;591;4.273
;;03403  OLDENBURG (OLDENB),STADT          ;6.242;6.151;31;60;885;89.871;34.370;42.481;12.428;592;3.798;7.336;1.784;45;11.408;32.909;532;123;5.168;2.189;2.252;95;258;118;95;158;3;760;237;392;30;422;6.473;102.586;607;11.780
;;03404  OSNABRUECK,STADT                 ;5.773;5.605;60;108;792;86.296;32.541;41.601;11.502;652;4.032;7.906;1.123;60;13.083;29.340;522;159;6.159;2.383;2.761;76;282;126;229;298;4;1.458;642;643;91;631;8.407;100.476;608;10.185
;;03405  WILHELMSHAVEN,STADT              ;3.440;3.374;33;33;475;40.499;17.323;17.806;5.247;123;1.652;2.990;685;17;2.886;13.966;532;54;2.628;1.263;1.107;34;97;19;51;57;-;374;30;301;29;208;3.264;47.203;620;5.054
;;03451  AMMERLAND                        ;7.218;7.010;55;153;1.080;81.232;29.782;38.698;12.321;431;3.839;8.126;1.545;36;6.153;29.651;651;144;7.341;2.812;3.463;115;373;139;150;284;5;6.190;456;4.798;142;577;14.252;102.702;823;20.344
;;03452  AURICH                           ;12.315;11.952;110;253;1.803;118.528;46.185;56.019;15.723;601;4.315;10.272;2.731;54;8.129;41.121;625;256;9.734;3.942;4.604;187;361;127;170;342;1;8.434;431;6.440;342;685;19.109;149.952;790;30.164
;;03453  CLOPPENBURG                      ;7.693;7.260;60;373;1.027;103.016;29.615;53.338;19.648;415;3.419;12.482;1.239;41;7.286;34.504;604;167;10.652;3.749;5.023;224;462;207;307;668;12;10.176;1.281;7.877;425;941;21.936;132.645;777;28.926
;;03454  EMSLAND                          ;17.131;16.336;127;668;2.071;204.671;66.943;107.402;29.396;930;6.486;22.010;3.044;79;17.669;65.656;626;326;17.809;6.822;8.543;176;725;210;391;929;13;17.920;2.614;13.509;681;1.612;37.667;259.469;794;62.448
;;03455  FRIESLAND                        ;6.549;6.371;59;119;1.004;66.991;25.950;31.122;9.607;312;3.125;5.950;1.528;35;3.967;24.495;679;30;3.997;1.726;1.688;40;155;61;60;262;5;3.395;273;2.531;141;389;7.811;81.351;824;14.409
;;03456  GRAFSCHAFT BENTHEIM              ;6.949;6.676;62;211;827;85.990;27.862;44.337;13.007;784;3.030;9.178;1.473;72;7.785;27.689;627;81;6.765;2.760;3.192;85;250;93;137;243;5;6.355;733;4.858;186;627;13.828;106.767;778;21.924
;;03457  LEER                             ;10.196;9.870;103;223;1.607;104.851;38.543;50.770;15.071;467;3.712;8.831;2.239;32;5.679;36.732;614;137;7.835;3.158;3.382;87;341;162;172;531;2;6.863;658;5.100;320;547;15.382;130.429;764;25.153
;;03458  OLDENBURG (OLDENBURG)             ;8.096;7.861;47;188;1.115;84.862;30.596;40.322;13.477;467;3.903;8.752;1.698;28;5.857;31.024;648;59;6.137;2.209;2.982;62;262;118;130;371;3;6.524;758;4.488;222;595;13.315;106.273;812;22.595
;;03459  OSNABRUECK                       ;20.375;19.615;170;590;2.663;233.819;85.499;113.870;33.250;1.200;9.875;23.800;3.060;70;15.843;82.245;653;414;16.554;5.965;7.792;176;931;299;411;971;9;16.424;1.679;12.077;659;1.365;34.757;288.951;807;50.657
;;03460  VECHTA                           ;6.813;6.506;50;257;837;89.242;27.544;45.824;15.413;461;3.182;10.707;766;34;8.783;28.879;625;275;8.191;2.766;3.804;88;480;154;205;687;7;7.627;2.029;4.751;371;804;16.897;112.952;791;23.230
;;03461  WESERMARSCH                      ;4.532;4.365;56;111;621;54.129;19.901;26.031;7.975;222;2.211;5.208;1.024;31;2.992;18.875;611;121;3.826;1.606;1.711;38;129;111;94;137;-;4.232;322;3.276;126;368;8.547;67.208;759;15.952
;;03462  WITTMUND                         ;3.774;3.641;29;104;563;36.706;13.964;17.663;4.957;122;1.319;3.297;707;41;1.763;13.101;645;79;2.997;1.425;1.275;50;109;22;46;68;2;4.028;101;3.209;122;232;7.336;47.816;840;10.161
;RB ZUSAMMEN;;132.354;127.707;1.099;3.548;18.088;1.548.533;554.216;758.189;228.043;8.085;60.425;152.265;25.710;708;124.780;533.484;611;2.536;119.578;46.424;55.251;1.585;5.405;2.028;2.702;6.111;72;101.846;12.665;74.812;3.982;10.283;234.243;1.915.130;756;363.083
NIEDERSACHSEN INSGESAMT;;;439.705;425.454;3.768;10.483;59.290;4.876.983;1.788.395;2.372.039;679.523;37.026;208.937;513.677;78.516;2.285;467.056;1.684.448;610;7.317;325.696;126.559;151.918;4.574;14.979;5.532;7.180;14.803;151;260.797;30.418;187.639;12.379;34.221;628.031;5.944.719;744;1.010.484
NORDRHEIN-WESTFALEN;RB DUESSELDORF                   ;05111  DUESSELDORF, STADT               ;23.853;23.254;357;242;2.981;317.580;100.764;162.238;52.094;2.484;18.143;43.724;2.824;215;84.139;92.676;511;705;19.692;10.219;7.408;299;762;335;331;335;3;1.561;461;879;105;4.711;26.669;368.102;592;17.275
;;05112  DUISBURG,STADT                   ;18.695;18.304;200;191;2.360;234.711;97.481;106.199;30.270;761;10.052;18.651;2.193;90;19.276;81.926;471;243;13.569;4.544;6.297;231;944;333;279;940;1;2.415;1.722;532;100;1.042;17.269;270.675;543;21.891
;;05113  ESSEN,STADT                      ;22.375;21.854;254;267;3.055;295.738;120.998;136.498;36.548;1.694;15.501;30.180;2.665;169;40.024;103.447;507;507;17.972;7.278;8.492;295;814;242;329;519;3;2.019;870;852;167;1.458;21.956;340.069;584;21.392
;;05114  KREFELD,STADT                    ;9.110;8.845;145;120;1.262;120.747;48.842;54.906;16.301;698;6.772;11.851;1.476;42;12.928;43.275;531;155;6.642;2.623;3.225;100;315;101;114;163;1;1.143;361;625;64;455;8.395;138.252;608;15.687
;;05116  MOENCHENGLADBACH,STADT           ;10.539;10.242;156;141;1.550;141.121;57.093;64.279;19.007;742;8.481;13.185;1.642;55;14.293;50.529;541;288;9.300;3.821;4.079;143;540;182;188;343;4;1.596;485;906;114;464;11.648;163.308;626;13.045
;;05117  MUELHEIM A.D.RUHR,STADT          ;7.776;7.612;78;86;1.066;95.332;38.611;43.037;13.112;572;6.539;10.288;1.068;40;9.368;35.958;559;28;5.065;1.824;2.386;75;279;108;117;272;4;647;214;344;63;369;6.109;109.217;640;7.555
;;05119  OBERHAUSEN,STADT                 ;9.311;9.108;97;106;1.242;113.014;48.849;49.969;13.782;414;5.791;9.061;1.106;46;8.530;41.054;536;166;5.800;2.091;2.941;84;346;65;92;180;1;608;303;223;61;464;7.038;129.363;614;9.112
;;05120  REMSCHEID,STADT                  ;5.597;5.403;75;119;765;63.336;25.970;28.757;8.293;316;3.438;9.033;682;29;7.073;21.693;569;101;3.928;1.529;1.883;37;228;73;68;109;1;768;267;385;80;230;5.027;73.960;664;5.875
;;05122  SOLINGEN,STADT                   ;8.969;8.763;89;117;1.267;96.653;38.941;43.848;13.103;761;6.012;11.742;1.217;25;13.001;33.261;607;120;5.320;2.156;2.588;48;305;56;73;92;2;657;115;389;80;287;6.384;112.006;703;7.950
;;05124  WUPPERTAL,STADT                  ;17.108;16.650;215;243;2.468;176.758;70.648;81.723;23.315;1.072;10.006;21.208;2.049;89;19.814;60.932;498;389;9.733;3.829;4.373;153;562;222;227;365;2;1.426;436;747;158;677;12.225;206.091;580;13.295
;;05154  KLEVE                            ;15.280;14.762;196;322;2.237;197.479;70.966;95.192;30.369;952;9.368;19.671;3.611;59;13.839;70.867;632;188;13.097;4.698;6.203;192;850;255;348;541;10;8.860;1.430;6.356;354;1.096;23.241;236.000;755;35.969
;;05158  METTMANN                         ;26.550;25.958;282;310;3.760;299.482;114.598;140.620;42.231;2.033;18.096;34.915;3.982;99;37.278;107.301;617;173;19.135;6.970;8.781;570;1.263;533;415;599;4;3.294;1.008;1.791;202;1.429;24.031;350.063;721;25.470
;;05162  NEUSS                            ;23.798;23.213;321;264;3.211;276.906;104.933;129.814;40.500;1.659;16.812;30.097;3.229;95;27.971;99.311;613;336;18.729;5.587;7.362;204;3.768;361;404;1.033;10;5.100;1.520;2.907;198;1.106;25.271;325.975;722;26.323
;;05166  VIERSEN                          ;16.247;15.782;191;274;2.370;191.571;75.009;87.805;27.532;1.225;11.685;18.581;3.213;89;15.483;73.116;641;237;13.463;4.408;6.420;228;876;451;342;729;9;5.911;1.225;3.969;229;1.300;20.911;228.729;765;30.044
;;05170  WESEL                            ;25.364;24.725;275;364;3.590;291.209;116.049;133.297;40.228;1.635;15.602;27.389;4.362;99;18.845;109.336;633;559;15.962;5.662;7.939;208;884;270;309;684;6;7.295;1.534;4.716;267;1.577;25.393;341.966;743;41.819
;RB ZUSAMMEN;;240.572;234.475;2.931;3.166;33.184;2.911.637;1.129.752;1.358.182;406.685;17.018;162.298;309.576;35.319;1.241;341.862;1.024.682;559;4.195;177.407;67.239;80.377;2.867;12.736;3.587;3.636;6.904;61;43.300;11.951;25.621;2.242;16.665;241.567;3.393.776;652;292.702
;RB KOELN                         ;05314  BONN,STADT                       ;11.582;11.330;141;111;1.618;175.805;58.289;93.352;23.045;1.119;9.314;18.133;1.868;89;40.897;54.710;533;275;83.360;53.875;23.641;1.744;1.137;1.556;778;594;35;828;165;479;66;1.188;85.651;273.038;828;11.605
;;05315  KOELN,STADT                      ;40.729;39.815;544;370;5.423;492.402;181.758;236.901;70.461;3.282;28.069;53.115;6.709;249;91.914;159.490;453;979;33.143;13.054;15.438;509;1.845;610;646;1.009;32;3.209;1.703;1.077;214;2.737;40.068;573.199;527;31.788
;;05316  LEVERKUSEN,STADT                 ;7.679;7.511;91;77;1.022;91.485;34.989;43.669;12.030;797;4.557;10.110;1.031;53;11.508;31.427;559;225;4.721;1.921;2.121;60;289;82;84;162;2;829;208;448;61;425;6.200;105.364;644;7.383
;;05334  AACHEN, STAEDTEREGION            ;26.105;25.445;248;412;3.612;298.201;120.705;135.668;39.617;2.211;18.481;30.325;4.243;142;31.475;105.332;535;545;16.841;6.573;7.612;260;871;275;411;833;6;5.644;1.516;3.215;333;1.234;24.264;348.570;626;36.383
