;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;RB ZUSAMMEN;;151.480;146.984;1.858;2.638;20.127;1.364.799;479.618;670.157;204.254;10.770;70.461;200.458;25.000;518;133.827;471.160;601;1.682;86.167;29.640;41.845;1.067;4.821;1.586;2.450;4.730;28;94.549;4.695;61.970;2.617;7.852;190.250;1.706.529;751;237.308
;RB TUEBINGEN                     ;08415  REUTLINGEN                       ;19.808;19.322;198;288;2.849;182.010;65.254;87.675;27.846;1.235;9.249;26.047;3.012;80;19.118;63.082;634;249;10.710;3.428;5.374;144;691;262;292;513;6;12.485;515;7.784;395;877;24.321;226.139;788;33.967
;;08416  TUEBINGEN                        ;13.708;13.413;134;161;2.030;128.003;45.098;62.983;18.951;971;6.332;15.266;2.341;57;14.027;45.270;560;194;6.199;2.171;3.022;95;377;83;155;294;2;6.728;172;3.833;206;511;13.632;155.343;679;21.723
;;08417  ZOLLERNALBKREIS                  ;13.910;13.484;142;284;1.944;129.579;46.841;63.477;18.536;725;7.058;19.968;1.828;51;11.850;44.933;684;102;7.972;2.667;3.800;89;513;143;238;520;2;10.725;517;6.259;438;803;19.602;163.091;861;27.225
;;08421  ULM,STADT                        ;6.028;5.907;57;64;854;67.203;22.188;33.808;10.647;560;3.326;8.941;1.022;76;12.263;20.860;530;319;4.337;1.339;2.080;39;233;131;227;286;2;1.543;423;755;51;455;6.654;79.885;630;7.795
;;08425  ALB-DONAU-KREIS                  ;16.028;15.448;182;398;2.327;130.410;44.800;64.497;20.321;792;6.887;18.021;1.958;9;9.582;43.204;662;189;7.643;2.300;4.002;94;474;150;170;452;1;14.159;623;8.982;328;853;22.844;169.282;859;28.986
;;08426  BIBERACH                         ;16.299;15.763;170;366;2.226;133.547;43.205;67.125;22.287;930;6.448;18.389;2.052;36;11.009;43.906;663;149;9.294;2.506;5.075;108;460;143;315;679;8;15.407;911;9.956;380;924;25.774;175.620;873;32.701
;;08435  BODENSEEKREIS                    ;20.852;20.361;235;256;3.194;140.217;47.949;66.306;24.864;1.098;8.827;20.209;2.956;22;13.448;48.554;645;149;7.901;2.856;4.053;112;393;78;131;274;4;9.809;196;7.636;237;682;18.541;179.610;826;21.288
;;08436  RAVENSBURG                       ;24.001;23.196;288;517;3.371;183.418;64.613;88.027;29.339;1.439;8.864;26.536;3.871;95;17.655;61.821;643;236;12.530;3.894;6.480;129;580;181;420;842;4;17.701;967;12.786;414;1.040;31.507;238.926;837;37.448
;;08437  SIGMARINGEN                      ;10.966;10.611;110;245;1.535;87.970;30.963;43.349;13.199;459;4.049;12.284;1.368;28;7.380;29.297;672;123;5.340;1.728;2.692;67;330;87;137;298;1;10.314;417;6.737;327;628;16.405;115.341;881;21.771
