"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
;;09277  ROTTAL-INN;83737;49911;31684;420;1269;300;435;18;769;4163;5370;21298;21510;28732;1061;7822;743;82585;101;961;2723;5267;10615;11751;318;2730;103;31521
;;09278  STRAUBING-BOGEN;69587;41156;26778;413;893;171;340;7;615;2784;4040;16826;19792;24062;719;6214;545;68664;76;620;1983;4214;10202;9528;213;1829;60;26683
;;09279  DINGOLFING-LANDAU;70342;39312;28790;426;1375;341;435;4;619;3259;4556;16524;17536;26265;3117;8174;770;69529;96;787;2269;4642;9960;10850;1426;2114;94;28698
;RB ZUSAMMEN;;823205;486825;313295;4512;13774;3420;4639;160;7004;35617;47146;192738;219818;303583;13171;84686;7493;813399;950;7897;23327;47530;111502;119982;4127;26011;898;312086
;RB OBERPFALZ                ;09361  AMBERG,STADT;25300;16292;8038;114;631;151;222;3;193;971;1296;5708;6531;9997;516;2998;315;25011;20;186;538;1008;2782;3445;122;932;30;8009
;;09362  REGENSBURG,STADT;85627;52844;28903;548;2587;722;726;19;652;2848;3562;15966;19710;40815;3119;15945;1007;84560;98;626;1509;3380;8809;14245;1017;4416;121;28788
;;09363  WEIDEN I.D.OPF.,STADT;26189;16763;8634;159;502;164;123;8;209;1084;1303;5764;6622;10704;508;3299;188;25874;28;193;534;1072;2804;3939;161;1026;16;8586
;;09371  AMBERG-SULZBACH;70777;43735;25317;378;919;261;414;14;610;3206;3824;17082;19788;24737;736;6616;668;69915;73;694;1727;3768;9319;9554;196;2097;85;25220
;;09372  CHAM;89687;54226;33456;641;957;228;393;14;857;4087;4754;21088;25395;31730;972;8509;711;88622;99;857;2379;5056;12576;12301;300;2539;66;33334
;;09373  NEUMARKT I.D.OPF.;90148;53898;33820;485;1372;362;565;8;722;3338;4454;19909;24833;34819;1095;9579;952;89027;92;714;2163;4485;12069;14068;334;3308;119;33710
