"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduzierte insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduziert mit
Dieselantrieb insgesamt"
;;08315 BREISGAU-HOCHSCHWARZWALD;164.411;98.750;51.821;919;7.428;2.326;5.454;39;1.776;7.170;8.907;33.313;37.880;66.023;15.083;15.298;50;6.096;161.165;261;1.746;3.991;6.779;16.551;21.752;4.577;3.807;4;272;51.352
;;08316 EMMENDINGEN;105.488;65.586;31.708;585;4.496;1.409;3.100;13;1.025;4.957;5.968;23.121;24.622;40.473;9.252;9.220;13;3.501;103.667;138;1.113;2.583;4.512;10.112;12.809;2.675;2.218;1;150;31.417
;;08317 ORTENAUKREIS;282.762;172.459;88.349;1.412;12.313;4.060;8.183;46;2.590;12.235;15.726;60.968;64.853;112.731;25.389;27.543;99;9.173;278.276;368;2.715;6.935;12.627;27.800;36.830;7.517;6.872;10;295;87.570
;;08325 ROTTWEIL;97.511;57.236;31.939;508;5.223;1.820;2.590;15;733;2.890;3.772;16.994;22.507;46.073;10.706;12.058;40;2.934;95.903;94;651;1.868;3.691;10.221;15.036;3.094;2.788;5;119;31.680
;;08326 SCHWARZWALD-BAAR-KREIS;136.007;81.765;41.318;896;8.411;2.680;3.593;24;912;3.762;5.140;22.943;30.679;66.275;15.385;17.661;52;4.080;133.791;142;876;2.446;4.548;13.076;19.808;4.123;3.584;3;131;41.027
;;08327 TUTTLINGEN;93.168;54.254;29.391;485;6.370;2.151;2.653;15;658;2.346;3.298;14.761;20.362;47.408;11.070;13.168;94;2.987;91.820;97;582;1.619;3.051;9.096;14.705;3.036;2.655;2;75;29.225
;;08335 KONSTANZ;165.851;104.875;45.306;1.242;8.984;2.884;5.409;35;1.557;6.045;7.718;32.203;36.718;72.368;16.379;18.873;70;6.199;162.808;244;1.454;3.324;5.029;14.011;20.582;4.337;3.959;8;256;44.900
;;08336 LOERRACH;139.842;87.942;39.192;500;7.630;2.147;4.542;36;1.239;5.351;6.973;27.362;31.889;59.480;13.728;14.463;38;4.949;137.243;194;1.301;2.929;4.738;12.368;17.137;3.647;2.826;2;127;38.794
;;08337 WALDSHUT;111.643;68.700;33.599;459;5.207;1.661;3.649;29;932;3.530;5.083;20.641;26.104;49.621;11.635;11.628;37;4.113;110.024;115;802;2.148;3.676;10.690;15.831;3.351;2.746;2;128;33.390
;RB ZUSAMMEN;;1.391.957;846.508;423.607;7.726;71.377;22.983;42.458;281;12.631;53.220;68.180;271.497;315.506;599.259;137.111;151.586;545;47.665;1.367.958;1.826;12.564;30.383;52.607;132.346;188.484;39.334;35.219;42;1.720;419.930
;RB TUEBINGEN;08415 REUTLINGEN;185.014;115.755;52.471;1.280;10.147;3.746;5.328;33;1.320;5.917;7.138;32.739;41.103;87.508;20.173;24.111;95;5.800;181.525;115;1.134;3.211;5.578;15.967;25.856;5.563;5.115;6;145;52.006
;;08416 TUEBINGEN;129.886;78.747;38.781;1.171;7.001;2.595;4.159;27;1.010;4.529;5.324;23.442;28.884;59.725;13.651;17.051;76;4.532;127.446;122;1.077;2.515;4.189;11.309;18.990;4.261;4.789;5;137;38.339
;;08417 ZOLLERNALBKREIS;131.947;81.827;38.897;866;6.992;2.414;3.346;19;866;3.885;5.102;22.247;28.902;64.842;15.293;17.634;75;3.693;129.537;92;820;2.385;4.199;12.200;18.777;4.070;3.507;8;113;38.586
;;08421 ULM,STADT;68.016;38.478;21.647;457;4.913;1.557;2.509;12;463;1.788;2.274;11.076;13.791;34.821;7.520;12.063;54;2.645;66.858;35;349;1.006;2.145;5.728;12.212;2.609;3.676;5;51;21.526
;;08425 ALB-DONAU-KREIS;134.211;79.060;44.161;795;6.005;1.920;4.162;28;974;3.920;5.160;24.383;31.620;61.123;14.020;14.462;32;4.543;131.723;106;837;2.582;5.562;14.219;20.440;4.183;3.025;2;96;43.842
;;08426 BIBERACH;137.887;77.943;49.136;723;5.727;1.838;4.346;12;937;4.083;5.625;25.411;33.551;61.047;13.836;13.949;53;4.826;135.480;126;993;2.988;6.033;16.240;22.322;4.659;3.533;6;126;48.828
;;08435 BODENSEEKREIS;143.230;86.005;42.104;810;9.765;3.699;4.517;29;1.234;5.402;6.559;26.400;31.294;63.748;13.922;18.567;83;5.160;139.797;239;1.485;3.189;5.124;13.227;18.225;3.818;3.342;3;182;41.671
;;08436 RAVENSBURG;187.483;108.030;64.028;1.048;8.407;3.011;5.936;34;1.571;6.357;8.482;35.039;43.967;81.698;18.299;20.754;65;6.879;183.993;303;1.978;4.597;7.835;20.616;27.844;5.608;4.963;4;298;63.471
;;08437 SIGMARINGEN;90.113;52.178;30.378;649;4.582;1.297;2.310;16;644;2.770;3.815;16.323;21.435;41.011;9.028;10.803;34;2.659;88.657;106;700;1.965;3.718;10.176;13.402;2.630;2.281;5;106;30.173
;RB ZUSAMMEN;;1.207.787;718.023;381.603;7.799;63.539;22.077;36.613;210;9.019;38.651;49.479;217.060;274.547;555.523;125.742;149.394;567;40.737;1.185.016;1.244;9.373;24.438;44.383;119.682;178.068;37.401;34.231;44;1.254;378.442
BADEN-WÜRTTEMBERG INSGESAMT;;;6.924.840;4.221.076;1.989.144;41.743;442.088;153.939;229.556;1.233;57.288;249.474;303.118;1.275.982;1.467.496;3.190.202;711.593;942.766;5.230;252.735;6.796.295;6.462;50.305;130.480;230.958;588.401;958.690;202.480;208.663;363;6.657;1.971.953
BAYERN;RB OBERBAYERN;09161 INGOLSTADT,STADT;103.495;54.573;26.421;451;15.991;3.667;6.050;9;816;2.840;2.962;13.948;15.702;56.700;8.515;30.214;1.073;8.547;101.515;97;652;1.525;2.948;6.922;13.509;2.444;4.618;19;602;26.255
;;09162 MUENCHEN,STADT;763.673;421.027;200.945;3.467;103.686;33.896;34.377;171;6.222;20.710;24.686;99.723;120.068;438.162;78.659;213.896;4.907;36.899;746.470;598;3.948;9.376;16.207;47.810;120.814;26.127;43.580;109;609;199.362
;;09163 ROSENHEIM,STADT;36.289;21.044;11.870;215;2.154;621;999;7;260;1.083;1.464;6.427;7.821;17.515;4.084;5.092;25;1.099;35.669;43;277;757;1.302;3.408;5.964;1.266;1.285;3;39;11.790
;;09171 ALTOETTING;74.426;43.541;24.371;415;3.853;1.168;2.236;10;473;2.066;2.855;13.005;17.530;34.699;8.314;8.620;20;2.469;73.097;87;515;1.427;2.723;7.992;11.368;2.554;1.853;-;67;24.179
;;09172 BERCHTESGADENER LAND;67.609;40.416;21.521;288;3.684;843;1.690;10;529;1.863;2.345;10.491;15.151;33.905;8.137;9.144;23;1.967;66.251;111;570;1.268;2.096;6.529;10.717;2.343;2.103;4;84;21.375
;;09173 BAD TOELZ-WOLFRATSHAUSEN;82.512;47.271;27.840;406;4.632;1.291;2.345;18;666;2.302;3.098;12.491;18.851;40.569;9.710;11.111;44;2.733;80.710;151;782;1.755;2.812;8.819;13.148;3.001;2.427;5;141;27.608
;;09174 DACHAU;95.878;57.569;29.366;573;5.485;1.624;2.869;16;724;2.846;3.771;16.580;20.945;45.856;10.545;12.458;52;3.203;93.925;115;640;1.728;3.109;9.168;14.282;3.023;2.603;3;103;29.145
;;09175 EBERSBERG;88.495;51.676;27.335;438;5.750;1.929;3.282;14;623;2.495;3.114;13.746;19.237;43.767;10.226;12.167;45;3.619;86.601;92;541;1.464;2.796;8.378;13.768;3.074;2.554;2;105;27.144
;;09176 EICHSTAETT;88.194;50.998;30.277;556;3.755;1.016;2.598;10;715;3.362;3.602;15.933;20.918;38.832;9.147;8.928;20;2.840;86.202;100;854;2.127;3.705;10.186;13.027;2.746;1.871;2;74;30.073
;;09177 ERDING;92.652;52.816;31.232;436;5.415;1.411;2.742;11;651;2.564;3.549;15.499;21.556;44.218;10.211;11.255;113;2.997;91.034;91;654;1.784;3.397;10.286;14.744;3.111;2.393;24;73;31.029
;;09178 FREISING;113.161;63.239;39.064;685;6.501;1.880;3.655;17;911;3.462;4.554;19.586;25.418;52.981;11.782;14.498;64;4.113;111.025;150;901;2.317;4.629;12.417;18.234;3.744;3.167;4;149;38.797
;;09179 FUERSTENFELDBRUCK;126.660;78.199;36.545;718;7.292;2.208;3.888;18;1.097;3.909;5.067;22.099;27.636;60.062;13.961;16.407;72;4.345;124.215;169;906;2.288;3.867;11.194;17.691;3.942;3.730;5;157;36.272
;;09180 GARMISCH-PARTENKIRCHEN;53.429;31.889;17.167;257;2.702;750;1.403;11;472;1.659;2.274;8.405;12.376;25.572;5.925;6.831;25;1.630;52.388;137;602;1.231;1.595;5.410;7.966;1.816;1.441;1;78;17.019
;;09181 LANDSBERG AM LECH;85.772;48.181;28.943;565;4.382;1.216;3.687;14;720;2.689;3.490;14.340;19.048;39.299;8.800;11.527;34;4.113;83.699;132;729;1.764;3.087;8.694;14.089;2.877;3.794;1;145;28.640
;;09182 MIESBACH;68.000;38.931;22.143;257;4.450;1.287;2.209;10;579;1.878;2.341;9.110;14.457;35.317;8.369;10.403;23;2.524;66.206;84;512;1.179;1.901;6.719;11.467;2.546;2.432;1;86;21.948
;;09183 MUEHLDORF A.INN;78.287;44.997;26.616;383;3.969;1.046;2.310;12;533;2.458;3.325;14.484;18.447;35.165;8.004;8.918;27;2.589;77.001;96;668;1.723;3.243;8.603;12.020;2.532;1.959;2;86;26.439
;;09184 MUENCHEN;245.839;131.145;70.209;989;29.085;10.678;14.370;41;1.707;5.702;7.242;29.390;41.481;134.642;29.938;54.578;250;20.459;240.623;192;1.177;3.165;5.116;16.891;42.659;10.377;14.299;10;637;69.837
;;09185 NEUBURG-SCHROBENHAUSEN;67.866;39.265;23.476;404;3.094;815;1.617;10;553;2.565;3.109;13.304;16.019;29.203;6.545;6.990;17;1.883;66.636;71;616;1.643;3.157;7.720;10.071;1.940;1.557;2;50;23.328
;;09186 PFAFFENHOFEN A.D.ILM;87.404;48.400;31.310;708;4.170;1.148;2.802;14;675;3.010;3.981;15.590;19.917;39.475;9.376;9.616;26;3.142;85.790;102;798;2.075;3.862;9.975;14.233;3.118;2.053;5;68;31.113
;;09187 ROSENHEIM;178.010;103.608;58.487;891;9.196;2.722;5.802;26;1.462;5.598;7.061;29.841;40.562;83.040;19.760;21.960;64;6.673;174.237;257;1.578;3.783;6.432;18.148;27.582;6.118;5.182;2;239;58.019
;;09188 STARNBERG;89.870;52.678;26.334;393;6.440;2.239;4.013;12;960;2.787;3.284;11.924;18.033;45.514;10.638;13.971;62;4.426;86.928;99;691;1.506;2.166;7.762;13.749;3.241;3.012;3;128;26.101
;;09189 TRAUNSTEIN;121.906;70.736;40.825;568;5.878;1.742;3.885;14;994;3.803;4.835;20.366;28.433;56.490;13.515;14.404;48;4.347;119.268;219;1.078;2.645;4.428;13.113;18.829;4.045;3.433;8;153;40.465
;;09190 WEILHEIM-SCHONGAU;91.322;53.886;30.072;523;3.949;1.223;2.884;8;787;3.227;4.121;16.078;21.392;40.324;9.382;9.723;31;3.202;89.131;166;984;2.233;3.375;9.660;13.187;2.877;2.170;4;116;29.721
;RB ZUSAMMEN;;2.900.749;1.646.085;882.369;14.586;245.513;76.420;111.713;483;23.129;84.878;106.130;442.360;580.998;1.471.307;313.543;522.711;7.065;129.819;2.838.621;3.359;20.673;50.763;87.953;255.804;453.118;98.862;113.516;219;3.989;875.659
;RB NIEDERBAYERN;09261 LANDSHUT,STADT;39.345;22.682;12.722;210;2.466;766;1.256;9;224;1.063;1.503;6.909;8.557;18.982;4.216;5.632;42;1.368;38.606;50;238;654;1.412;4.005;6.243;1.307;1.128;1;25;12.627
;;09262 PASSAU,STADT;30.264;17.361;9.214;89;2.604;752;989;7;199;794;1.069;4.951;6.056;15.638;3.389;5.337;35;1.064;29.771;39;158;476;901;2.565;4.981;1.078;1.184;4;28;9.148
;;09263 STRAUBING,STADT;28.254;16.655;8.953;157;1.747;503;740;2;178;746;1.047;5.299;6.270;13.457;3.090;3.907;12;816;27.813;18;145;495;1.023;2.813;4.390;917;941;-;16;8.900
;;09271 DEGGENDORF;81.987;45.630;29.475;426;4.129;1.165;2.321;6;475;2.215;2.970;14.123;19.379;39.257;8.738;10.569;25;2.533;80.952;53;509;1.499;3.148;9.552;14.549;2.961;2.647;-;37;29.347
;;09272 FREYUNG-GRAFENAU;54.766;30.884;19.475;178;2.999;811;1.224;6;372;1.785;2.018;8.668;12.514;27.302;6.561;7.141;15;1.382;54.041;44;392;1.141;2.146;6.265;9.345;1.967;1.409;-;47;19.380
;;09273 KELHEIM;84.222;46.361;31.330;498;3.673;943;2.348;12;519;2.386;3.293;14.936;19.902;39.173;9.050;9.137;29;2.627;82.836;67;563;1.714;3.795;10.428;14.534;2.988;2.077;3;66;31.167
;;09274 LANDSHUT;114.285;61.360;42.733;638;5.651;1.692;3.861;42;790;3.511;4.923;20.830;26.433;51.595;11.499;13.560;61;4.334;112.416;132;944;2.565;5.209;13.931;19.524;4.044;3.273;8;138;42.443
;;09275 PASSAU;134.174;79.838;42.945;440;6.941;1.866;3.976;34;843;4.291;5.279;24.351;30.753;62.330;14.750;15.584;40;4.380;132.227;120;918;2.657;5.041;14.123;19.719;4.041;2.989;1;85;42.663
;;09276 REGEN;51.663;29.181;18.206;200;2.890;771;1.181;5;319;1.379;1.689;7.872;12.051;26.439;6.451;6.899;12;1.343;51.092;47;349;963;1.796;5.909;9.021;1.952;1.339;-;43;18.128
;;09277 ROTTAL-INN;86.780;48.871;31.261;418;3.916;1.065;2.293;21;635;2.983;3.886;16.983;20.019;38.142;8.580;9.930;30;2.607;85.255;79;783;2.045;4.007;9.814;14.196;2.845;2.947;2;82;31.006
