;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;08315 BREISGAU-HOCHSCHWARZWALD;18.462;17.908;291;263;2.462;165.479;56.887;78.301;24.033;6.258;8.585;26.706;5.018;30;15.708;58.622;608;191;12.750;4.463;6.655;104;492;146;315;571;4;13.951;560;10.529;2.862;1.430;28.322;212.263;780;30.855
;;08316 EMMENDINGEN;12.499;12.149;191;159;1.645;106.560;37.674;50.812;14.402;3.672;5.031;14.722;2.828;43;9.854;38.165;618;110;7.846;2.566;4.042;56;371;170;257;382;2;8.762;378;6.219;2.165;694;17.412;136.471;792;20.228
;;08317 ORTENAUKREIS;32.254;31.323;460;471;4.329;285.127;101.060;136.577;38.319;9.171;12.903;41.920;6.153;108;29.646;99.585;642;591;20.778;6.715;10.693;211;1.093;293;574;1.191;8;22.142;2.048;15.491;4.603;1.728;45.239;362.620;816;60.068
;;08325 ROTTWEIL;11.825;11.469;164;192;1.639;98.103;33.758;47.482;13.871;2.992;4.829;18.329;2.376;37;10.917;32.975;686;89;6.276;1.785;3.442;63;296;110;167;410;3;9.133;425;6.127;2.581;655;16.153;126.081;882;22.127
;;08326 SCHWARZWALD-BAAR-KREIS;15.084;14.749;158;177;2.048;136.845;48.948;64.662;19.099;4.136;6.378;27.389;2.983;68;14.721;47.033;625;200;9.014;2.827;4.803;126;394;169;252;436;7;8.197;375;5.890;1.932;688;18.099;170.028;777;23.049
;;08327 TUTTLINGEN;10.721;10.384;168;169;1.394;93.877;31.253;45.699;13.948;2.977;4.500;18.779;2.053;33;11.542;29.723;642;116;5.634;1.707;3.001;48;247;144;153;328;6;7.075;336;4.482;2.257;436;13.261;117.859;807;19.061
;;08335 KONSTANZ;22.153;21.528;330;295;3.367;166.915;58.337;76.834;25.731;6.013;9.599;26.005;4.849;79;16.402;60.255;567;204;10.533;3.876;5.231;120;470;150;273;407;6;8.463;350;6.114;1.999;926;20.126;209.194;711;28.476
;;08336 LOERRACH;16.862;16.346;318;198;2.309;140.450;47.683;66.878;20.695;5.194;7.040;24.752;3.496;44;10.839;50.664;598;79;9.021;3.156;4.820;128;374;82;163;297;1;8.346;146;6.101;2.099;704;18.150;175.462;747;21.255
;;08337 WALDSHUT;12.919;12.532;178;209;1.615;112.374;38.526;53.864;15.766;4.218;5.234;22.808;2.495;53;9.321;38.573;644;130;7.804;2.320;4.271;56;395;113;149;494;6;10.790;431;7.819;2.540;788;19.512;144.805;830;22.753
;RB ZUSAMMEN;;162.015;157.410;2.406;2.199;22.156;1.401.361;485.107;667.132;200.353;48.769;68.663;234.146;36.075;599;146.547;487.431;599;2.082;97.135;32.181;50.781;997;4.463;1.480;2.509;4.681;43;98.341;5.160;69.901;23.280;8.574;206.132;1.769.508;757;256.154
