;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;RB KASSEL                        ;06611  KASSEL,STADT;6.286;6.072;91;123;830;91.588;34.155;42.928;13.034;1.471;4.425;10.863;1.626;48;12.872;30.172;456;104;7.148;2.405;3.135;86;346;224;229;720;3;1.050;322;644;84;575;8.877;106.751;531;9.439
;;06631  FULDA;17.470;16.643;187;640;2.154;145.154;49.799;72.898;20.681;1.776;6.636;20.032;2.254;79;11.595;46.960;651;268;10.169;2.988;5.275;125;643;188;258;690;2;13.258;687;9.539;3.032;932;24.627;187.251;840;27.580
;;06632  HERSFELD-ROTENBURG;9.163;8.664;64;435;1.043;80.151;26.903;41.110;11.430;708;3.414;10.792;1.042;35;4.943;26.176;666;56;5.487;1.723;2.428;51;246;84;118;837;-;7.771;552;5.458;1.761;718;14.032;103.346;859;16.833
;;06633  KASSEL, LAND;15.820;15.134;197;489;2.196;152.902;58.777;70.512;21.240;2.373;8.163;18.673;3.182;21;8.733;53.995;645;154;9.038;3.063;4.350;104;506;250;194;569;2;8.199;1.043;5.414;1.742;789;18.180;186.902;789;28.457
;;06634  SCHWALM-EDER-KREIS;14.136;13.387;157;592;1.803;120.761;43.809;59.112;16.210;1.630;5.674;15.583;2.086;58;5.897;41.959;671;262;6.627;2.339;3.027;74;392;163;221;408;3;10.833;896;7.561;2.376;864;18.586;153.483;853;27.293
;;06635  WALDECK-FRANKENBERG;11.831;11.273;99;459;1.585;106.295;38.538;52.539;13.952;1.266;4.278;15.113;1.449;63;7.299;36.349;679;205;6.842;2.255;3.555;97;290;130;147;366;2;11.048;412;8.180;2.456;731;18.826;136.952;875;22.635
;;06636  WERRA-MEISSNER-KREIS;7.383;6.830;67;486;904;63.488;23.087;31.361;8.361;679;2.753;8.275;1.116;31;3.511;22.352;635;118;3.809;1.402;1.816;52;228;53;90;162;6;6.124;230;4.766;1.128;467;10.518;81.389;814;13.436
;RB ZUSAMMEN;;82.089;78.003;862;3.224;10.515;760.339;275.068;370.460;104.908;9.903;35.343;99.331;12.755;335;54.850;257.963;624;1.167;49.120;16.175;23.586;589;2.651;1.092;1.257;3.752;18;58.283;4.142;41.562;12.579;5.076;113.646;956.074;785;145.673
HESSEN INSGESAMT;;;353.044;340.150;4.501;8.393;46.569;3.813.653;1.353.690;1.854.140;549.709;56.114;197.052;515.630;48.989;1.637;485.030;1.282.753;606;5.553;254.431;87.895;128.661;2.912;13.473;4.586;5.553;11.284;67;155.367;13.099;109.616;32.652;24.099;439.450;4.606.147;732;486.595
MECKLENBURG-VORPOMMERN;;13003  ROSTOCK, STADT;5.251;5.136;44;71;644;87.057;34.293;42.350;9.594;820;1.753;8.295;1.292;53;8.953;29.790;416;108;6.332;2.991;2.722;91;171;100;137;117;3;1.125;739;369;17;559;8.124;100.432;480;22.063
;;13004  SCHWERIN, STADT;2.326;2.282;14;30;274;44.702;17.544;21.929;4.900;329;804;4.333;665;39;5.926;15.353;468;54;3.514;1.483;1.702;43;81;54;53;98;-;292;80;195;17;987;4.847;51.875;543;5.909
;;13071  MECKLENBURGISCHE SEENPLA.;14.007;13.490;102;415;1.689;146.616;54.860;73.669;17.432;655;2.317;17.388;1.894;105;10.143;54.668;568;305;16.970;7.351;7.740;271;467;270;286;582;3;7.520;1.246;6.057;217;1.581;26.376;186.999;725;43.521
;;13072  ROSTOCK;11.578;11.204;97;277;1.336;128.424;45.944;64.569;16.984;927;2.844;15.911;1.858;77;9.976;48.165;592;222;15.145;6.540;6.926;194;482;208;350;442;3;6.544;1.163;5.184;197;1.493;23.404;163.406;753;36.102
;;13073  VORPOMMERN-RUEGEN;10.768;10.384;102;282;1.246;125.981;49.049;60.638;15.516;778;2.718;15.830;2.010;88;10.324;47.329;559;241;13.603;6.346;5.938;250;316;222;200;327;4;4.821;565;4.103;153;1.199;19.864;156.613;695;34.289
;;13074  NORDWESTMECKLENBURG;8.908;8.640;52;216;1.112;91.926;35.516;44.545;11.236;629;2.041;10.356;1.472;45;5.710;35.451;582;216;9.545;4.539;4.171;135;268;113;107;209;3;4.491;458;3.785;248;880;15.132;115.966;734;23.774
;;13075  VORPOMMERN-GREIFSWALD;12.295;11.920;80;295;1.438;127.304;48.207;62.454;15.709;934;2.065;15.267;1.474;103;8.267;48.213;540;274;12.840;6.032;5.573;243;338;168;146;339;1;5.436;461;4.756;219;1.173;19.723;159.322;676;35.528
;;13076  LUDWIGSLUST-PARCHIM;12.520;12.045;60;415;1.524;129.388;46.866;65.606;16.320;596;2.529;14.519;1.930;80;7.371;49.195;611;265;14.154;5.912;6.451;228;387;267;340;566;3;8.590;999;7.098;493;1.392;24.401;166.309;785;44.296
MECKLENBURG-VORPOMMERN INSGESAMT;;;77.653;75.101;551;2.001;9.263;881.398;332.279;435.760;107.691;5.668;17.071;101.899;12.595;590;66.670;328.164;547;1.685;92.103;41.194;41.223;1.455;2.510;1.402;1.619;2.680;20;38.819;5.711;31.547;1.561;9.264;141.871;1.100.922;683;245.482
NIEDERSACHSEN;RB BRAUNSCHWEIG                  ;03101  BRAUNSCHWEIG,STADT;11.055;10.852;99;104;1.452;145.129;53.974;70.737;15.576;4.842;6.193;15.423;2.031;81;33.766;43.108;584;199;8.203;3.114;3.942;244;375;111;142;273;2;1.464;620;729;115;717;10.583;166.767;671;13.536
;;03102  SALZGITTER,STADT;4.477;4.333;50;94;503;56.716;21.734;27.429;7.061;492;2.444;5.542;657;36;3.557;18.938;546;111;2.890;1.182;1.302;29;140;39;65;126;7;984;264;599;121;286;4.271;65.464;630;8.070
;;03103  WOLFSBURG,STADT;6.071;5.876;99;96;659;126.444;43.391;68.488;7.444;7.121;4.805;14.942;1.364;53;69.967;19.803;1.021;151;3.215;1.548;1.376;86;100;35;30;40;-;1.032;87;802;143;409;4.807;137.322;1.109;7.039
;;03151  GIFHORN;12.783;12.352;157;274;1.639;110.345;41.994;53.219;13.372;1.760;5.025;12.541;2.318;43;5.247;37.901;623;170;6.386;2.650;3.051;77;272;78;84;174;-;6.715;309;5.177;1.229;771;14.042;137.170;774;26.538
;;03153  GOSLAR;8.226;8.011;70;145;1.149;81.082;32.065;38.467;9.780;770;3.558;10.145;1.267;56;5.926;29.098;602;88;4.927;1.736;2.458;58;259;55;95;266;-;2.747;544;1.814;389;605;8.367;97.675;725;14.275
;;03154  HELMSTEDT;6.250;6.089;57;104;818;56.848;22.908;26.897;6.265;778;2.529;5.980;1.023;34;2.994;20.000;621;128;2.888;1.171;1.366;45;110;62;49;83;2;2.395;177;1.874;344;412;5.823;68.921;753;11.062
;;03155  NORTHEIM;9.634;9.267;60;307;1.365;89.214;34.075;43.137;10.963;1.039;3.695;10.415;1.327;46;6.935;31.312;677;102;5.461;2.033;2.798;56;241;50;115;168;-;6.451;359;4.874;1.218;729;12.743;111.591;847;17.366
;;03157  PEINE;9.061;8.798;132;131;1.259;86.516;33.605;40.772;11.042;1.097;3.988;8.638;1.338;33;4.272;31.706;637;124;4.518;1.703;2.135;72;231;65;102;210;-;3.194;349;2.343;502;515;8.351;103.928;765;16.936
;;03158  WOLFENBUETTEL;8.306;8.100;71;135;1.099;76.168;30.840;35.148;9.113;1.067;3.837;7.643;1.366;19;3.851;28.314;638;106;3.848;1.607;1.756;60;148;36;50;187;4;2.582;180;1.961;441;441;6.977;91.451;766;13.379
;;03159  GÖTTINGEN;17.514;16.903;152;459;2.434;185.968;70.102;89.146;24.527;2.193;8.183;22.127;3.145;131;14.207;66.778;574;308;11.997;4.568;5.256;169;585;227;455;735;2;9.986;1.603;6.735;1.648;1.371;23.662;227.144;701;35.156
;RB ZUSAMMEN;;93.377;90.581;947;1.849;12.377;1.014.430;384.688;493.440;115.143;21.159;44.257;113.396;15.836;532;150.722;326.958;638;1.487;54.333;21.312;25.440;896;2.461;758;1.187;2.262;17;37.550;4.492;26.908;6.150;6.256;99.626;1.207.433;759;163.357
;RB HANNOVER                      ;03241  HANNOVER;52.416;51.197;541;678;6.818;595.333;218.336;283.751;85.360;7.886;28.842;67.676;9.371;396;67.818;204.702;515;923;40.448;15.626;19.365;467;1.786;964;808;1.426;6;13.015;2.597;8.600;1.818;4.498;58.884;706.633;612;87.430
;;03251  DIEPHOLZ;13.822;13.388;90;344;1.891;144.341;51.419;68.704;22.526;1.692;6.324;16.494;2.470;61;10.894;51.418;662;210;11.018;3.826;5.282;113;535;168;348;739;7;12.332;2.082;8.487;1.763;1.183;24.743;182.906;839;38.445
;;03252  HAMELN-PYRMONT;8.947;8.664;74;209;1.185;93.844;34.988;44.881;12.925;1.050;4.601;10.521;1.479;62;4.957;34.740;632;147;5.348;2.184;2.442;64;298;93;80;185;2;3.722;222;2.725;775;588;9.805;112.596;758;17.822
;;03254  HILDESHEIM;15.346;14.950;147;249;2.084;163.474;65.909;75.783;19.991;1.791;7.296;17.010;2.413;21;10.135;60.294;593;277;9.413;3.644;4.633;100;427;163;178;267;1;5.885;536;4.288;1.061;1.067;16.642;195.462;710;25.914
;;03255  HOLZMINDEN;4.445;4.260;44;141;601;45.514;17.116;21.844;6.141;413;1.998;5.605;769;26;2.691;15.711;648;63;2.663;899;1.357;31;120;33;67;155;1;2.915;246;1.967;702;411;6.052;56.011;798;10.366
;;03256  NIENBURG(WESER);7.960;7.626;77;257;1.123;79.099;27.047;39.107;11.998;947;2.826;9.151;1.322;48;5.826;28.334;650;270;6.168;2.161;3.087;137;310;93;114;263;3;8.027;969;5.775;1.283;840;15.305;102.364;841;24.393
;;03257  SCHAUMBURG;9.780;9.522;84;174;1.412;103.722;39.534;48.559;14.247;1.382;5.068;11.066;1.635;45;5.718;38.460;655;142;5.731;2.031;2.850;50;355;79;99;264;3;4.235;503;2.899;833;708;10.816;124.318;785;22.034
;RB ZUSAMMEN;;112.716;109.607;1.057;2.052;15.114;1.225.327;454.349;582.629;173.188;15.161;56.955;137.523;19.459;659;108.039;433.659;571;2.032;80.789;30.371;39.016;962;3.831;1.593;1.694;3.299;23;50.131;7.155;34.741;8.235;9.295;142.247;1.480.290;689;226.404
;RB LUENEBURG                     ;03351  CELLE;11.371;10.977;88;306;1.607;111.909;40.259;54.200;16.261;1.189;4.606;12.879;2.114;55;7.281;41.216;624;142;7.924;2.851;4.023;147;381;119;158;242;3;5.291;386;4.274;631;993;14.350;137.630;767;27.644
;;03352  CUXHAVEN;12.866;12.368;86;412;1.718;128.348;48.038;61.331;17.888;1.091;5.065;13.778;2.623;60;5.868;46.924;646;135;8.794;3.720;4.083;194;309;73;129;282;4;10.426;435;8.873;1.118;1.041;20.396;161.610;813;33.606
;;03353  HARBURG;17.389;16.890;163;336;2.399;170.339;60.371;79.492;28.094;2.382;9.671;22.044;4.482;44;13.727;63.932;665;102;11.432;4.294;5.648;174;504;188;229;383;12;7.901;1.051;5.757;1.093;1.064;20.499;208.227;813;37.891
;;03354  LUECHOW-DANNENBERG;3.641;3.458;34;149;501;31.515;10.952;15.593;4.649;321;1.147;3.763;847;15;1.649;12.163;650;120;2.541;1.177;1.138;28;92;7;23;74;2;4.207;172;3.327;708;345;7.213;42.369;874;11.783
;;03355  LUENEBURG;10.075;9.820;79;176;1.508;106.793;40.258;49.987;15.038;1.510;4.955;11.612;2.769;34;9.617;40.228;580;206;7.081;2.781;3.468;109;245;80;89;308;1;4.476;488;3.494;494;972;12.735;129.603;703;22.859
;;03356  OSTERHOLZ;6.935;6.714;70;151;995;74.452;28.242;34.237;11.070;903;3.532;7.721;1.585;20;3.254;28.067;649;142;4.428;1.680;2.225;90;207;61;78;87;-;4.136;148;3.536;452;567;9.273;90.660;791;16.450
;;03357  ROTENBURG(WUEMME);11.236;10.816;77;343;1.692;115.795;37.978;60.099;16.410;1.308;4.142;13.116;2.273;56;14.492;38.387;704;145;10.850;3.608;5.296;61;357;229;412;882;5;12.011;1.581;9.139;1.291;1.185;24.191;151.222;919;35.189
;;03358  HEIDEKREIS;9.245;8.895;82;268;1.277;90.186;30.754;44.494;14.077;861;3.316;10.630;1.791;53;4.986;32.554;640;145;6.915;2.538;3.520;99;268;67;127;294;2;6.721;482;5.260;979;856;14.637;114.068;810;24.007
;;03359  STADE;11.440;11.058;80;302;1.507;128.133;46.770;61.264;18.644;1.455;5.766;14.638;2.975;44;8.648;44.980;624;342;8.900;3.240;4.555;98;371;138;181;316;1;10.222;983;8.084;1.155;899;20.363;159.936;779;30.979
;;03360  UELZEN;6.069;5.858;38;173;882;57.962;23.016;26.772;7.519;655;2.310;6.425;1.119;31;3.064;21.334;626;50;3.973;1.657;1.956;48;133;28;37;114;-;4.290;269;3.581;440;561;8.874;72.905;788;16.153
;;03361  VERDEN;7.984;7.731;75;178;1.044;88.298;32.381;42.196;12.701;1.020;4.101;10.262;1.629;33;6.734;32.431;642;80;6.154;2.353;2.996;93;249;73;115;272;3;5.251;665;3.787;799;596;12.081;108.363;788;21.546
;RB ZUSAMMEN;;108.251;104.585;872;2.794;15.130;1.103.730;399.019;529.665;162.351;12.695;48.611;126.868;24.207;445;79.320;402.216;641;1.609;78.992;29.899;38.908;1.141;3.116;1.063;1.578;3.254;33;74.932;6.660;59.112;9.160;9.079;164.612;1.376.593;799;278.107
;RB WESER-EMS                     ;03401  DELMENHORST,STADT;3.126;3.049;29;48;435;43.018;16.814;19.714;6.121;369;1.626;3.779;605;17;3.715;15.120;555;58;2.402;963;1.166;29;104;48;24;67;1;607;253;304;50;171;3.238;49.382;637;5.939
;;03402  EMDEN,STADT;2.258;2.189;20;49;303;25.402;10.830;11.214;2.921;437;860;1.949;587;20;2.151;8.453;509;79;1.578;738;649;19;87;20;26;39;-;494;162;298;34;118;2.269;29.929;600;4.388
;;03403  OLDENBURG(OLDENB),STADT;6.417;6.322;42;53;928;90.672;34.582;42.399;12.436;1.255;3.799;7.918;2.042;48;11.388;33.422;535;135;5.409;2.234;2.473;86;263;115;93;142;3;773;225;460;88;444;6.761;103.850;612;11.937
;;03404  OSNABRUECK,STADT;5.904;5.741;62;101;806;87.279;32.783;41.674;11.463;1.359;4.027;8.465;1.294;72;13.530;29.597;531;169;6.400;2.464;2.985;70;282;118;211;266;4;1.444;616;720;108;661;8.674;101.857;620;10.332
;;03405  WILHELMSHAVEN,STADT;3.505;3.444;32;29;511;40.541;17.362;17.646;5.221;312;1.601;3.197;751;14;2.894;14.115;539;60;2.771;1.307;1.204;34;94;19;55;58;-;384;33;313;38;218;3.433;47.479;631;5.225
;;03451  AMMERLAND;7.397;7.187;56;154;1.121;81.947;29.811;38.805;12.391;940;3.921;8.452;1.764;35;6.344;29.980;652;148;7.685;2.887;3.719;106;374;142;153;299;5;6.329;473;5.111;745;606;14.768;104.112;829;21.032
;;03452  AURICH;12.719;12.362;120;237;1.888;119.751;46.263;56.034;15.860;1.594;4.298;10.834;3.035;54;8.211;41.678;630;221;10.265;4.125;4.957;175;355;127;170;354;2;8.713;419;6.863;1.431;735;19.934;152.404;801;31.105
;;03453  CLOPPENBURG;8.066;7.640;72;354;1.101;104.725;29.848;54.012;19.727;1.138;3.471;13.417;1.377;43;7.825;35.002;607;169;11.272;3.944;5.391;237;463;209;325;689;14;10.385;1.290;8.324;771;992;22.818;135.609;786;30.140
;;03454  EMSLAND;17.687;16.917;145;625;2.157;207.753;67.389;108.088;29.660;2.616;6.712;23.342;3.511;78;18.505;66.809;632;336;18.692;7.073;9.157;179;716;204;401;951;11;18.649;2.690;14.563;1.396;1.719;39.396;264.836;805;64.820
;;03455  FRIESLAND;6.698;6.509;70;119;1.060;67.519;26.057;31.017;9.671;774;3.137;6.293;1.696;38;4.036;24.946;682;36;4.155;1.812;1.775;38;155;64;55;251;5;3.464;284;2.656;524;407;8.062;82.279;831;14.861
;;03456  GRAFSCHAFT BENTHEIM;7.121;6.860;62;199;878;87.111;28.122;44.529;13.192;1.268;3.047;9.940;1.719;29;7.979;28.182;632;89;7.191;2.847;3.525;92;230;97;138;256;6;6.441;720;5.104;617;646;14.367;108.599;788;22.724
;;03457  LEER;10.510;10.173;111;226;1.670;106.268;39.035;50.920;15.163;1.150;3.792;9.356;2.432;32;5.949;37.526;620;142;8.221;3.287;3.651;83;336;159;170;533;2;7.055;662;5.398;995;552;15.970;132.748;774;26.203
;;03458  OLDENBURG(OLDENBURG);8.255;8.016;54;185;1.126;85.831;30.718;40.595;13.505;1.013;3.940;9.304;1.908;33;6.176;31.548;653;65;6.345;2.267;3.142;69;255;112;126;372;2;6.663;771;4.810;1.082;631;13.704;107.790;820;23.264
;;03459  OSNABRUECK;20.934;20.183;180;571;2.791;235.755;85.571;113.926;33.409;2.849;9.955;25.231;3.542;67;16.169;83.167;656;456;17.539;6.230;8.442;186;912;308;402;1.050;9;16.860;1.729;12.860;2.271;1.412;36.267;292.956;815;52.461
;;03460  VECHTA;6.944;6.655;52;237;862;90.346;27.536;46.107;15.416;1.287;3.255;11.389;895;36;9.246;29.240;629;301;8.466;2.820;4.092;91;447;142;199;667;8;7.873;2.085;5.079;709;837;17.477;114.767;799;23.993
;;03461  WESERMARSCH;4.660;4.495;56;109;675;54.440;19.922;25.977;8.048;493;2.228;5.491;1.129;28;3.041;19.194;615;129;4.195;1.757;1.955;39;136;64;110;134;-;4.333;332;3.411;590;378;9.035;68.135;770;16.605
;;03462  WITTMUND;3.869;3.739;32;98;594;37.278;14.165;17.765;5.014;334;1.345;3.524;802;39;1.843;13.414;650;76;3.181;1.527;1.355;50;110;22;46;70;1;4.088;108;3.318;662;243;7.588;48.735;849;10.560
;RB ZUSAMMEN;;136.070;131.481;1.195;3.394;18.906;1.565.636;556.808;760.422;229.218;19.188;61.014;161.881;29.089;683;129.002;541.393;616;2.669;125.767;48.282;59.638;1.583;5.319;1.970;2.704;6.198;73;104.555;12.852;79.592;12.111;10.770;243.761;1.945.467;765;375.589
NIEDERSACHSEN INSGESAMT;;;450.414;436.254;4.071;10.089;61.527;4.909.123;1.794.864;2.366.156;679.900;68.203;210.837;539.668;88.591;2.319;467.083;1.704.226;613;7.797;339.881;129.864;163.002;4.582;14.727;5.384;7.163;15.013;146;267.168;31.159;200.353;35.656;35.400;650.246;6.009.783;751;1.043.457
NORDRHEIN-WESTFALEN;RB DUESSELDORF                   ;05111  DUESSELDORF, STADT;24.318;23.684;387;247;3.005;318.807;102.262;161.039;50.885;4.621;18.077;45.743;3.261;248;84.565;93.312;514;674;20.854;10.818;7.931;297;757;325;379;345;2;1.638;495;1.015;128;4.878;28.044;371.169;598;17.534
;;05112  DUISBURG,STADT;19.019;18.614;231;174;2.433;235.888;98.041;105.739;30.312;1.796;9.918;19.882;2.460;103;19.566;82.608;476;237;13.943;4.570;6.694;228;921;316;277;934;3;2.528;1.789;621;118;1.068;17.776;272.683;550;22.338
;;05113  ESSEN,STADT;22.833;22.294;273;266;3.140;295.646;120.746;135.704;35.813;3.383;15.331;31.298;3.023;166;40.072;103.579;508;472;18.662;7.431;9.026;286;805;255;328;526;5;2.062;861;1.021;180;1.491;22.687;341.166;586;21.775
;;05114  KREFELD,STADT;9.335;9.063;158;114;1.309;121.480;49.134;54.819;16.189;1.338;6.745;12.582;1.684;43;13.009;43.743;536;150;6.774;2.602;3.392;91;327;124;103;134;1;1.211;434;666;111;433;8.568;139.383;614;17.254
;;05116  MOENCHENGLADBACH,STADT;10.902;10.601;168;133;1.634;142.463;57.510;64.362;19.074;1.517;8.491;13.770;2.030;55;14.690;51.097;549;310;9.569;3.856;4.286;143;541;184;184;372;3;1.650;506;984;160;496;12.025;165.390;637;13.469
;;05117  MUELHEIM A.D.RUHR,STADT;7.943;7.787;78;78;1.073;95.340;38.410;42.746;12.989;1.195;6.468;10.839;1.258;45;9.553;36.059;558;32;5.274;1.860;2.535;83;268;116;127;282;3;662;224;380;58;367;6.335;109.618;641;7.689
;;05119  OBERHAUSEN,STADT;9.465;9.253;108;104;1.243;113.433;48.762;49.826;13.755;1.090;5.695;9.662;1.259;41;8.636;41.315;541;175;6.131;2.178;3.157;95;341;66;93;200;1;645;313;278;54;473;7.424;130.322;622;9.315
;;05120  REMSCHEID,STADT;5.739;5.549;80;110;768;63.640;25.895;28.768;8.263;714;3.489;9.252;766;29;6.891;22.011;571;103;4.087;1.568;1.990;39;229;79;72;109;1;791;277;432;82;240;5.221;74.600;669;6.023
;;05122  SOLINGEN,STADT;9.211;8.993;100;118;1.307;97.868;39.227;43.810;13.251;1.580;6.053;12.734;1.357;31;13.918;33.474;615;129;5.354;2.112;2.672;52;293;55;79;89;2;685;127;453;105;299;6.467;113.546;713;8.142
;;05124  WUPPERTAL,STADT;17.371;16.933;218;220;2.523;178.105;71.047;81.821;23.129;2.108;9.863;22.067;2.304;95;20.440;61.376;502;408;10.348;3.989;4.798;160;553;213;246;387;2;1.454;448;843;163;696;12.906;208.382;587;13.630
;;05154  KLEVE;15.494;14.961;224;309;2.281;199.762;71.554;95.465;30.475;2.268;9.390;20.978;4.090;59;14.399;72.002;637;213;13.652;4.812;6.646;200;832;249;344;561;8;9.192;1.547;6.852;793;1.135;24.192;239.448;764;37.147
;;05158  METTMANN;27.120;26.500;324;296;3.888;300.284;115.015;139.265;41.547;4.457;17.929;36.421;4.455;98;37.724;107.933;620;180;19.675;7.019;9.284;534;1.265;530;424;617;2;3.344;1.000;2.034;310;1.449;24.648;352.052;727;26.126
;;05162  NEUSS;24.426;23.830;338;258;3.305;277.848;105.245;129.144;40.003;3.456;16.757;31.653;3.667;109;28.326;99.918;615;345;19.336;5.689;7.865;197;3.733;384;390;1.058;20;5.224;1.515;3.187;522;1.126;26.031;328.305;726;27.014
;;05166  VIERSEN;16.714;16.233;206;275;2.477;192.423;75.129;87.474;27.370;2.450;11.629;19.496;3.652;90;15.442;73.717;645;256;14.139;4.565;6.857;236;933;450;345;744;9;6.032;1.232;4.264;536;1.382;21.809;230.946;774;32.437
;;05170  WESEL;25.868;25.232;304;332;3.682;292.694;116.162;132.976;40.017;3.539;15.641;28.913;4.978;103;19.037;110.250;636;606;16.731;5.799;8.568;207;882;260;311;698;6;7.506;1.588;5.118;800;1.601;26.444;345.006;750;42.876
;RB ZUSAMMEN;;245.758;239.527;3.197;3.034;34.068;2.925.681;1.134.139;1.352.958;403.072;35.512;161.476;325.290;40.244;1.315;346.268;1.032.394;563;4.290;184.529;68.868;85.701;2.848;12.680;3.606;3.702;7.056;68;44.624;12.356;28.148;4.120;17.134;250.577;3.422.016;658;302.769
;RB KOELN                         ;05314  BONN,STADT;11.795;11.548;141;106;1.674;174.763;58.875;91.109;22.328;2.451;9.254;18.573;2.115;95;39.077;55.342;529;292;88.525;57.852;24.226;2.473;1.074;1.456;809;602;33;845;157;562;126;1.331;90.993;277.551;840;11.777
;;05315  KOELN,STADT;41.765;40.834;574;357;5.581;492.827;182.664;234.521;69.488;6.154;27.984;56.430;7.704;250;91.002;160.545;455;1.019;34.330;13.171;16.536;511;1.810;613;653;1.008;28;3.324;1.744;1.303;277;2.481;41.154;575.746;531;32.284
;;05316  LEVERKUSEN,STADT;7.761;7.581;99;81;1.035;91.204;35.064;43.206;11.706;1.228;4.475;10.514;1.157;60;11.252;31.578;556;240;4.927;1.984;2.243;57;303;85;80;173;2;846;208;506;132;431;6.444;105.409;643;7.574
;;05334  AACHEN, STAEDTEREGION;26.596;25.938;266;392;3.727;299.478;121.043;134.933;39.167;4.335;18.267;31.405;4.768;134;31.752;105.920;538;617;17.364;6.576;8.120;242;855;277;407;881;6;5.851;1.599;3.612;640;1.290;25.122;351.196;631;37.353
;;05358  DUEREN;16.836;16.380;173;283;2.453;166.690;64.659;77.271;22.301;2.459;10.127;17.028;2.729;84;11.758;61.017;629;452;10.585;3.849;5.308;166;494;122;227;414;5;6.037;899;4.277;861;955;18.029;201.555;760;27.627
;;05362  RHEIN-ERFT-KREIS;26.362;25.660;361;341;3.664;287.108;113.514;131.789;38.704;3.101;17.705;29.462;4.390;109;24.571;105.503;611;451;20.874;7.452;9.743;211;1.280;470;662;1.044;12;4.921;1.539;2.906;476;1.360;27.606;341.076;726;30.863
;;05366  EUSKIRCHEN;12.586;12.071;142;373;1.734;135.806;50.378;65.199;18.675;1.554;7.141;17.333;2.344;48;15.465;46.495;699;263;10.358;3.297;5.735;79;559;142;168;374;4;8.267;608;6.113;1.546;708;19.596;167.988;864;26.698
;;05370  HEINSBERG;15.296;14.810;205;281;2.254;165.831;62.067;77.582;24.360;1.822;9.619;17.570;2.879;53;12.385;59.607;647;342;10.577;3.504;5.547;127;534;154;189;520;2;5.571;699;4.181;691;776;17.266;198.393;774;30.953
;;05374  OBERBERGISCHER KREIS;16.914;16.221;190;503;2.295;180.966;69.909;84.350;24.680;2.027;9.412;25.982;3.027;81;15.257;64.364;666;378;11.168;4.018;5.495;143;637;182;265;419;9;8.674;469;6.400;1.805;796;21.016;218.896;806;28.664
;;05378  RHEIN.-BERGISCHER KREIS;18.953;18.454;190;309;2.758;184.071;71.553;83.374;26.337;2.807;12.413;23.377;3.361;73;15.497;70.286;650;205;10.344;3.771;5.347;111;541;146;177;247;4;3.863;250;2.852;761;676;15.088;218.112;770;21.633
;;05382  RHEIN-SIEG-KREIS;37.104;36.055;447;602;5.190;374.504;143.864;173.908;52.257;4.475;23.659;42.195;6.134;160;28.109;138.873;624;506;22.860;8.921;10.787;259;1.280;384;446;774;9;10.781;1.203;7.676;1.902;1.637;35.784;447.392;745;48.259
;RB ZUSAMMEN;;231.968;225.552;2.788;3.628;32.365;2.553.248;973.590;1.197.242;350.003;32.413;150.056;289.869;40.608;1.147;296.125;899.530;570;4.765;241.912;114.395;99.087;4.379;9.367;4.031;4.083;6.456;114;58.980;9.375;40.388;9.217;12.441;318.098;3.103.314;693;303.685
;RB MUENSTER                      ;05512  BOTTROP,STADT;6.540;6.398;65;77;850;69.922;29.380;31.014;8.807;721;3.679;6.383;785;21;4.767;25.977;596;63;3.676;1.122;1.882;61;306;101;105;99;-;835;284;459;92;269;4.843;81.305;693;6.121
;;05513  GELSENKIRCHEN,STADT;9.564;9.265;154;145;1.258;124.908;51.842;56.308;15.712;1.046;5.180;10.746;1.005;82;11.100;42.973;482;351;8.090;2.750;4.082;183;579;132;139;223;2;1.130;652;418;60;497;10.068;144.540;558;9.538
;;05515  MUENSTER,STADT;11.038;10.802;136;100;1.584;151.531;54.551;72.334;21.771;2.875;7.853;16.082;3.312;77;25.238;52.525;479;247;10.419;4.051;4.844;155;547;172;231;415;4;2.504;558;1.662;284;742;13.912;176.481;558;17.575
;;05554  BORKEN;17.873;17.282;207;384;2.475;231.725;80.907;114.316;32.911;3.591;9.331;24.611;4.309;78;23.945;76.015;623;351;18.848;5.402;10.419;206;1.007;272;495;1.043;4;14.152;2.568;10.095;1.489;1.839;35.190;284.788;766;50.775
;;05558  COESFELD;13.223;12.815;140;268;1.863;143.139;52.056;69.040;19.903;2.140;6.594;14.886;3.204;60;11.154;51.344;649;285;9.361;2.789;4.865;117;465;236;305;581;3;8.884;896;6.677;1.311;1.075;19.605;175.967;797;29.596
;;05562  RECKLINGHAUSEN;34.032;33.314;332;386;4.909;361.126;148.951;162.779;45.936;3.460;18.226;33.491;5.030;140;20.797;134.972;589;612;17.998;6.253;9.143;238;983;289;408;678;6;5.908;1.660;3.633;615;1.478;25.996;421.154;686;41.487
;;05566  STEINFURT;23.773;23.019;200;554;3.219;281.036;102.142;136.165;38.613;4.116;11.348;28.509;5.566;109;25.046;96.470;627;488;18.932;6.519;9.151;223;930;478;565;1.064;2;15.736;2.534;11.166;2.036;1.692;36.848;341.657;762;60.733
