;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;;08326  SCHWARZWALD-BAAR-KREIS;14.402;14.068;131;203;1.928;134.231;48.949;64.141;19.469;1.672;6.419;24.986;2.345;62;14.048;45.830;631;181;8.371;2.748;4.243;132;412;164;254;412;6;7.966;360;5.630;1.976;689;17.207;165.840;779;21.913
;;08327  TUTTLINGEN;10.338;10.017;123;198;1.255;91.126;30.895;44.819;14.183;1.229;4.546;16.874;1.619;31;10.570;28.631;643;96;5.126;1.544;2.586;62;285;146;151;350;2;6.871;328;4.254;2.289;431;12.524;113.988;805;18.241
;;08335  KONSTANZ;21.264;20.695;251;318;3.177;164.538;58.459;77.042;26.218;2.819;9.962;22.986;3.851;70;15.152;59.334;574;179;9.706;3.712;4.533;127;491;178;263;398;4;8.122;337;5.687;2.098;837;18.844;204.646;713;27.046
;;08336  LOERRACH;15.984;15.492;266;226;2.145;138.838;47.825;67.435;21.340;2.238;7.414;22.307;2.773;44;10.334;49.793;607;68;8.388;3.029;4.284;113;416;88;162;295;1;8.187;147;5.821;2.219;679;17.322;172.144;752;20.464
;;08337  WALDSHUT;12.347;11.957;166;224;1.537;109.778;38.453;53.661;15.940;1.724;5.330;20.436;1.953;49;8.561;37.443;641;126;7.163;2.213;3.710;68;398;104;170;495;5;10.432;408;7.407;2.617;715;18.436;140.561;821;21.457
;RB ZUSAMMEN;;154.731;150.246;1.996;2.489;20.724;1.375.775;482.595;667.907;204.193;21.080;70.478;210.115;28.280;541;136.939;476.029;604;1.880;89.635;30.467;44.484;1.062;4.755;1.584;2.462;4.787;34;96.012;4.814;66.890;24.308;8.075;195.602;1.726.108;758;243.666
;RB TUEBINGEN                     ;08415  REUTLINGEN;20.142;19.656;209;277;2.921;182.826;65.744;86.952;27.632;2.498;9.149;27.232;3.344;80;19.369;63.660;636;233;11.067;3.448;5.727;137;647;266;299;537;6;12.586;506;8.404;3.676;878;24.764;227.732;792;34.740
;;08416  TUEBINGEN;14.034;13.744;138;152;2.067;128.908;45.725;62.524;18.756;1.903;6.339;16.045;2.637;59;14.189;45.699;564;208;6.630;2.274;3.318;102;379;83;163;308;3;6.862;183;4.180;2.499;535;14.235;157.177;688;22.318
;;08417  ZOLLERNALBKREIS;14.373;13.928;158;287;2.062;130.656;47.184;63.295;18.706;1.471;7.109;21.001;2.117;54;12.145;45.503;688;105;8.336;2.767;4.028;91;496;144;243;564;3;10.888;547;6.818;3.523;817;20.146;165.175;870;27.979
;;08421  ULM,STADT;6.170;6.044;59;67;893;67.689;22.370;33.841;10.389;1.089;3.302;9.383;1.152;76;12.452;21.020;535;368;4.637;1.424;2.276;41;229;122;238;305;2;1.566;423;857;286;476;7.047;80.906;640;7.992
;;08425  ALB-DONAU-KREIS;16.582;15.977;201;404;2.413;132.009;45.433;64.587;20.325;1.664;6.951;19.089;2.265;9;9.971;44.045;666;245;7.921;2.344;4.187;95;478;160;181;475;1;14.397;662;9.940;3.795;892;23.455;172.046;868;29.852
;;08426  BIBERACH;16.636;16.082;182;372;2.292;135.106;43.491;67.071;22.542;2.002;6.510;19.495;2.360;37;11.295;44.637;668;157;9.892;2.660;5.475;116;456;140;327;711;7;15.675;910;11.001;3.764;956;26.680;178.422;882;33.728
;;08435  BODENSEEKREIS;21.273;20.766;252;255;3.206;141.254;48.341;66.078;24.681;2.154;8.764;21.162;3.375;20;13.701;49.078;648;162;8.199;2.873;4.353;107;384;77;129;272;4;9.938;205;8.038;1.695;708;19.007;181.534;833;21.871
;;08436  RAVENSBURG;24.627;23.812;322;493;3.475;184.737;65.017;87.638;29.303;2.779;8.911;27.867;4.420;93;18.005;62.497;646;244;13.149;3.969;6.991;140;557;187;431;870;4;18.057;970;13.762;3.325;1.071;32.521;241.885;846;38.599
;;08437  SIGMARINGEN;11.317;10.982;114;221;1.611;88.794;31.141;43.442;13.226;985;4.163;12.998;1.558;32;7.635;29.627;678;135;5.589;1.794;2.855;62;340;80;143;312;3;10.437;415;7.234;2.788;643;16.804;116.915;893;22.394
;RB ZUSAMMEN;;145.154;140.991;1.635;2.528;20.940;1.191.979;414.446;575.428;185.560;16.545;61.198;174.272;23.228;460;118.762;405.766;638;1.857;75.420;23.553;39.210;891;3.966;1.259;2.154;4.354;33;100.406;4.821;70.234;25.351;6.976;184.659;1.521.792;815;239.473
BADEN-WÜRTEMBERG INSGESAMT;;;740.305;719.543;9.162;11.600;102.283;6.838.130;2.346.064;3.322.047;1.062.714;107.305;365.465;982.637;115.598;2.533;806.913;2.297.855;616;8.789;419.586;139.677;208.913;5.217;24.258;8.577;11.386;21.389;169;393.087;25.195;267.766;100.126;36.300;857.762;8.436.197;760;1.103.884
BAYERN;RB OBERBAYERN                    ;09161  INGOLSTADT,STADT;8.795;8.594;110;91;1.043;96.916;29.511;48.476;15.658;3.271;3.868;22.553;1.220;43;31.633;22.318;708;246;3.660;1.294;1.856;32;177;71;75;154;1;1.535;137;1.126;272;623;6.064;111.775;816;9.160
;;09162  MUENCHEN,STADT;68.352;66.889;1.033;430;9.280;744.826;201.945;389.014;138.176;15.691;44.661;149.165;14.220;280;219.387;199.033;500;1.473;44.429;14.558;25.169;274;2.046;620;581;1.160;21;4.749;682;3.530;537;5.736;56.387;869.565;584;42.612
;;09163  ROSENHEIM,STADT;3.796;3.697;54;45;533;35.741;12.201;17.033;6.032;475;1.549;6.091;766;37;5.451;12.084;562;34;2.597;910;1.306;36;99;56;74;116;-;651;24;505;122;425;3.707;43.244;680;3.902
;;09171  ALTOETTING;9.554;9.211;107;236;1.315;72.851;23.815;37.268;10.888;880;3.450;10.736;1.344;33;5.682;24.840;652;125;4.615;1.587;2.361;26;191;57;107;283;3;6.129;226;4.865;1.038;562;11.431;93.836;840;15.278
;;09172  BERCHTESGADENER LAND;8.658;8.418;82;158;1.071;66.479;24.918;31.400;9.344;817;2.499;14.948;1.515;26;6.402;22.370;625;104;3.901;1.367;1.944;65;167;103;98;157;-;5.017;115;3.749;1.153;466;9.488;84.625;796;10.659
;;09173  BAD TOELZ-WOLFRATSHAUSEN;11.009;10.666;140;203;1.513;82.046;27.473;39.382;14.169;1.022;4.094;17.927;2.232;22;8.033;29.362;640;34;6.248;2.058;3.429;45;236;79;122;277;2;6.931;119;5.294;1.518;596;13.809;106.864;833;14.395
;;09174  DACHAU;13.462;13.035;192;235;1.949;95.221;31.446;46.691;15.764;1.320;5.316;14.556;1.900;27;9.065;32.117;614;161;6.730;2.210;3.525;55;335;187;143;271;4;6.266;368;4.759;1.139;623;13.780;122.463;789;16.385
;;09175  EBERSBERG;10.739;10.433;149;157;1.479;86.929;27.806;42.916;14.706;1.501;5.112;15.158;1.835;16;8.863;30.051;603;171;5.564;1.788;2.834;53;251;122;167;346;3;5.847;321;4.711;815;477;12.059;109.727;762;12.303
;;09176  EICHSTAETT;13.161;12.619;188;354;1.561;86.201;28.687;44.537;11.943;1.034;3.687;14.564;1.612;26;4.888;25.411;647;129;4.763;1.535;2.401;50;246;102;165;263;1;10.387;367;8.024;1.996;565;15.844;115.206;865;20.658
;;09177  ERDING;12.232;11.731;132;369;1.604;91.189;29.325;46.177;14.384;1.303;4.599;14.222;1.479;22;7.104;30.982;657;175;6.287;2.024;3.048;60;286;124;265;479;1;10.290;340;7.702;2.248;753;17.505;120.926;871;17.225
;;09178  FREISING;14.666;14.178;217;271;2.027;110.729;34.024;56.437;18.413;1.855;5.780;16.644;1.951;38;11.012;36.358;614;177;8.382;2.731;4.150;68;459;265;236;471;2;9.203;501;7.002;1.700;814;18.576;143.971;798;18.260
;;09179  FUERSTENFELDBRUCK;15.477;15.073;231;173;2.331;125.139;42.528;60.221;20.572;1.818;6.957;18.613;2.900;28;10.562;43.863;572;164;8.341;2.821;4.330;68;389;159;259;307;8;4.647;138;3.380;1.129;654;13.806;154.422;706;17.858
;;09180  GARMISCH-PARTENKIRCHEN;7.925;7.737;69;119;1.055;53.211;18.867;25.228;8.444;672;2.260;12.773;1.948;36;6.448;19.632;603;43;3.935;1.431;2.130;29;114;28;68;135;-;4.848;59;4.090;699;361;9.187;70.323;797;9.279
